team|date|likes|talking_about|check_ins
 Phoenix Suns|March 18, 2019|1,889,394 - (-198)|10,589 - (-4,461)|0 - (0)
 Phoenix Suns|March 15, 2019|1,889,592 - (-149)|15,050 - (-5,455)|0 - (0)
 Phoenix Suns|March 12, 2019|1,889,741 - (-24)|20,505 - (+2,876)|0 - (0)
 Phoenix Suns|March 9, 2019|1,889,765 - (-287)|17,629 - (+1,465)|0 - (0)
 Phoenix Suns|March 6, 2019|1,890,052 - (-278)|16,164 - (+5,137)|0 - (0)
 Phoenix Suns|March 3, 2019|1,890,330 - (-228)|11,027 - (+548)|0 - (0)
 Phoenix Suns|February 28, 2019|1,890,558 - (-318)|10,479 - (+658)|0 - (0)
 Phoenix Suns|February 25, 2019|1,890,876 - (-289)|9,821 - (-2,986)|0 - (0)
 Phoenix Suns|February 22, 2019|1,891,165 - (-387)|12,807 - (-1,130)|0 - (0)
 Phoenix Suns|February 19, 2019|1,891,552 - (-397)|13,937 - (-1,673)|0 - (0)
 Phoenix Suns|February 16, 2019|1,891,949 - (-422)|15,610 - (-1,985)|0 - (0)
 Phoenix Suns|February 13, 2019|1,892,371 - (-257)|17,595 - (-53)|0 - (0)
 Phoenix Suns|February 10, 2019|1,892,628 - (-308)|17,648 - (+7,229)|0 - (0)
 Phoenix Suns|February 7, 2019|1,892,936 - (-262)|10,419 - (+2,834)|0 - (0)
 Phoenix Suns|February 4, 2019|1,893,198 - (-565)|7,585 - (-25)|0 - (0)
 Phoenix Suns|January 29, 2019|1,893,763 - (-296)|7,610 - (+412)|0 - (0)
 Phoenix Suns|January 26, 2019|1,894,059 - (-188)|7,198 - (+662)|0 - (0)
 Phoenix Suns|January 23, 2019|1,894,247 - (-230)|6,536 - (-417)|0 - (0)
 Phoenix Suns|January 20, 2019|1,894,477 - (-234)|6,953 - (-5,469)|0 - (0)
 Phoenix Suns|January 17, 2019|1,894,711 - (-194)|12,422 - (-819)|0 - (0)
 Phoenix Suns|January 14, 2019|1,894,905 - (-124)|13,241 - (+2,921)|0 - (0)
 Phoenix Suns|January 11, 2019|1,895,029 - (-218)|10,320 - (+280)|0 - (0)
 Phoenix Suns|January 8, 2019|1,895,247 - (-195)|10,040 - (-1,520)|0 - (0)
 Phoenix Suns|January 5, 2019|1,895,442 - (-253)|11,560 - (-3,876)|0 - (0)
 Phoenix Suns|January 2, 2019|1,895,695 - (-162)|15,436 - (+216)|0 - (0)
 Phoenix Suns|December 30, 2018|1,895,857 - (-212)|15,220 - (+18)|0 - (0)
 Phoenix Suns|December 27, 2018|1,896,069 - (-348)|15,202 - (-2,543)|0 - (0)
 Phoenix Suns|December 24, 2018|1,896,417 - (-63)|17,745 - (+2,617)|0 - (0)
 Phoenix Suns|December 21, 2018|1,896,480 - (-113)|15,128 - (+3,757)|0 - (0)
 Phoenix Suns|December 18, 2018|1,896,593 - (-122)|11,371 - (+1,261)|0 - (0)
 Phoenix Suns|December 15, 2018|1,896,715 - (-237)|10,110 - (+2,180)|0 - (0)
 Phoenix Suns|December 12, 2018|1,896,952 - (-1,035)|7,930 - (-5,426)|0 - (0)
 Phoenix Suns|November 30, 2018|1,897,987 - (-157)|13,356 - (+3,939)|0 - (0)
 Phoenix Suns|November 27, 2018|1,898,144 - (-269)|9,417 - (+1,227)|0 - (0)
 Phoenix Suns|November 24, 2018|1,898,413 - (-232)|8,190 - (-5,449)|0 - (0)
 Phoenix Suns|November 21, 2018|1,898,645 - (-142)|13,639 - (+677)|0 - (0)
 Phoenix Suns|November 18, 2018|1,898,787 - (-207)|12,962 - (+3,828)|0 - (0)
 Phoenix Suns|November 15, 2018|1,898,994 - (-187)|9,134 - (-3,521)|0 - (0)
 Phoenix Suns|November 12, 2018|1,899,181 - (-230)|12,655 - (-831)|0 - (0)
 Phoenix Suns|November 9, 2018|1,899,411 - (-261)|13,486 - (+485)|0 - (0)
 Phoenix Suns|November 6, 2018|1,899,672 - (-143)|13,001 - (+4,790)|0 - (0)
 Phoenix Suns|November 3, 2018|1,899,815 - (-148)|8,211 - (-1,416)|0 - (0)
