team|date|likes|talking_about|check_ins
 Miami Heat|March 18, 2019|15,409,651 - (-3,145)|162,457 - (-68,615)|0 - (0)
 Miami Heat|March 15, 2019|15,412,796 - (-711)|231,072 - (-10,528)|0 - (0)
 Miami Heat|March 12, 2019|15,413,507 - (-984)|241,600 - (-80,918)|0 - (0)
 Miami Heat|March 9, 2019|15,414,491 - (-442)|322,518 - (-57,019)|0 - (0)
 Miami Heat|March 6, 2019|15,414,933 - (+410)|379,537 - (+56,458)|0 - (0)
 Miami Heat|March 3, 2019|15,414,523 - (+39)|323,079 - (+98,672)|0 - (0)
 Miami Heat|February 28, 2019|15,414,484 - (-851)|224,407 - (-29,423)|0 - (0)
 Miami Heat|February 25, 2019|15,415,335 - (-1,275)|253,830 - (-85,766)|0 - (0)
 Miami Heat|February 22, 2019|15,416,610 - (-1,288)|339,596 - (-24,836)|0 - (0)
 Miami Heat|February 19, 2019|15,417,898 - (+425)|364,432 - (+103,308)|0 - (0)
 Miami Heat|February 16, 2019|15,417,473 - (-1,025)|261,124 - (+61,392)|0 - (0)
 Miami Heat|February 13, 2019|15,418,498 - (+396)|199,732 - (-7,937)|0 - (0)
 Miami Heat|February 10, 2019|15,418,102 - (-1,883)|207,669 - (-11,938)|0 - (0)
 Miami Heat|February 7, 2019|15,419,985 - (-2,028)|219,607 - (+45,303)|0 - (0)
 Miami Heat|February 4, 2019|15,422,013 - (-1,505)|174,304 - (+26,508)|0 - (0)
 Miami Heat|February 1, 2019|15,423,518 - (-1,984)|147,796 - (+12,095)|0 - (0)
 Miami Heat|January 29, 2019|15,425,502 - (-1,867)|135,701 - (+42,624)|0 - (0)
 Miami Heat|January 26, 2019|15,427,369 - (-1,359)|93,077 - (+18,482)|0 - (0)
 Miami Heat|January 23, 2019|15,428,728 - (-2,141)|74,595 - (-2,027)|0 - (0)
 Miami Heat|January 20, 2019|15,430,869 - (-1,983)|76,622 - (+7,347)|0 - (0)
 Miami Heat|January 17, 2019|15,432,852 - (-935)|69,275 - (+2,995)|0 - (0)
 Miami Heat|January 14, 2019|15,433,787 - (-1,885)|66,280 - (-6,890)|0 - (0)
 Miami Heat|January 11, 2019|15,435,672 - (-2,177)|73,170 - (+6,303)|0 - (0)
 Miami Heat|January 8, 2019|15,437,849 - (-2,104)|66,867 - (+10,147)|0 - (0)
 Miami Heat|January 5, 2019|15,439,953 - (-2,304)|56,720 - (-4,984)|0 - (0)
 Miami Heat|January 2, 2019|15,442,257 - (-2,597)|61,704 - (-7,743)|0 - (0)
 Miami Heat|December 30, 2018|15,444,854 - (-2,466)|69,447 - (-6,488)|0 - (0)
 Miami Heat|December 27, 2018|15,447,320 - (-3,250)|75,935 - (+10,841)|0 - (0)
 Miami Heat|December 24, 2018|15,450,570 - (-1,763)|65,094 - (+17,093)|0 - (0)
 Miami Heat|December 21, 2018|15,452,333 - (-2,094)|48,001 - (-44,349)|0 - (0)
 Miami Heat|December 18, 2018|15,454,427 - (-2,088)|92,350 - (-22,910)|0 - (0)
 Miami Heat|December 15, 2018|15,456,515 - (-2,522)|115,260 - (+2,238)|0 - (0)
 Miami Heat|December 12, 2018|15,459,037 - (-2,103)|113,022 - (+54,759)|0 - (0)
 Miami Heat|December 9, 2018|15,461,140 - (-2,627)|58,263 - (+12,240)|0 - (0)
 Miami Heat|December 6, 2018|15,463,767 - (-2,340)|46,023 - (+10,048)|0 - (0)
 Miami Heat|December 3, 2018|15,466,107 - (-2,567)|35,975 - (-1,821)|0 - (0)
 Miami Heat|November 30, 2018|15,468,674 - (-2,593)|37,796 - (-3,667)|0 - (0)
 Miami Heat|November 27, 2018|15,471,267 - (-3,072)|41,463 - (+1,057)|0 - (0)
 Miami Heat|November 24, 2018|15,474,339 - (-2,731)|40,406 - (+3,011)|0 - (0)
 Miami Heat|November 21, 2018|15,477,070 - (-2,256)|37,395 - (-11,223)|0 - (0)
 Miami Heat|November 18, 2018|15,479,326 - (-2,398)|48,618 - (-70,795)|0 - (0)
 Miami Heat|November 15, 2018|15,481,724 - (-2,542)|119,413 - (-30,983)|0 - (0)
 Miami Heat|November 12, 2018|15,484,266 - (-1,746)|150,396 - (+56,045)|0 - (0)
 Miami Heat|November 9, 2018|15,486,012 - (-2,532)|94,351 - (+50,141)|0 - (0)
 Miami Heat|November 6, 2018|15,488,544 - (-2,695)|44,210 - (-2,141)|0 - (0)
 Miami Heat|November 3, 2018|15,491,239 - (-1,996)|46,351 - (-28,086)|0 - (0)
 Miami Heat|October 31, 2018|15,493,235 - (-1,086)|74,437 - (+9,493)|0 - (0)
 Miami Heat|October 28, 2018|15,494,321 - (-508)|64,944 - (+24,060)|0 - (0)
 Miami Heat|October 25, 2018|15,494,829 - (-1,022)|40,884 - (+5,464)|0 - (0)
 Miami Heat|October 22, 2018|15,495,851 - (-1,403)|35,420 - (+7,592)|0 - (0)
 Miami Heat|October 19, 2018|15,497,254 - (-2,349)|27,828 - (+11,761)|0 - (0)
 Miami Heat|October 16, 2018|15,499,603 - (-2,741)|16,067 - (+2,169)|0 - (0)
 Miami Heat|October 13, 2018|15,502,344 - (-2,287)|13,898 - (+1,369)|0 - (0)
 Miami Heat|October 10, 2018|15,504,631 - (-2,907)|12,529 - (-1,881)|0 - (0)
 Miami Heat|October 7, 2018|15,507,538 - (-3,571)|14,410 - (-4,604)|0 - (0)
 Miami Heat|October 4, 2018|15,511,109 - (-2,831)|19,014 - (-3,384)|0 - (0)
 Miami Heat|October 1, 2018|15,513,940 - (-1,909)|22,398 - (-1,989)|0 - (0)
 Miami Heat|September 28, 2018|15,515,849 - (-2,245)|24,387 - (-35,245)|0 - (0)
 Miami Heat|September 25, 2018|15,518,094 - (-2,202)|59,632 - (-368)|0 - (0)
 Miami Heat|September 22, 2018|15,520,296 - (-1,769)|60,000 - (+35,706)|0 - (0)
 Miami Heat|September 19, 2018|15,522,065 - (-2,530)|24,294 - (+9,545)|0 - (0)
 Miami Heat|September 16, 2018|15,524,595 - (-2,944)|14,749 - (-10,547)|0 - (0)
 Miami Heat|September 13, 2018|15,527,539 - (-6,262)|25,296 - (+5,352)|0 - (0)
 Miami Heat|September 10, 2018|15,533,801 - (-3,314)|19,944 - (+8,589)|0 - (0)
 Miami Heat|September 7, 2018|15,537,115 - (-3,090)|11,355 - (+2,784)|0 - (0)
 Miami Heat|September 4, 2018|15,540,205 - (-3,012)|8,571 - (-267)|0 - (0)
 Miami Heat|September 1, 2018|15,543,217 - (-3,297)|8,838 - (-424)|0 - (0)
 Miami Heat|August 29, 2018|15,546,514 - (-3,272)|9,262 - (-415)|0 - (0)
 Miami Heat|August 26, 2018|15,549,786 - (-2,946)|9,677 - (-1,447)|0 - (0)
 Miami Heat|August 23, 2018|15,552,732 - (-2,973)|11,124 - (-6,443)|0 - (0)
 Miami Heat|August 20, 2018|15,555,705 - (-3,113)|17,567 - (+1,974)|0 - (0)
 Miami Heat|August 17, 2018|15,558,818 - (-3,060)|15,593 - (+4,074)|0 - (0)
 Miami Heat|August 14, 2018|15,561,878 - (-3,042)|11,519 - (-5,954)|0 - (0)
 Miami Heat|August 11, 2018|15,564,920 - (-3,759)|17,473 - (-1,461)|0 - (0)
 Miami Heat|August 8, 2018|15,568,679 - (-4,408)|18,934 - (+3,809)|0 - (0)
 Miami Heat|August 5, 2018|15,573,087 - (-4,125)|15,125 - (+2,854)|0 - (0)
 Miami Heat|August 2, 2018|15,577,212 - (-4,201)|12,271 - (-1,617)|0 - (0)
 Miami Heat|July 30, 2018|15,581,413 - (-4,252)|13,888 - (-2,580)|0 - (0)
 Miami Heat|July 27, 2018|15,585,665 - (-4,163)|16,468 - (+764)|0 - (0)
 Miami Heat|July 24, 2018|15,589,828 - (-4,098)|15,704 - (-1,324)|0 - (0)
 Miami Heat|July 21, 2018|15,593,926 - (-4,296)|17,028 - (-4,096)|0 - (0)
 Miami Heat|July 18, 2018|15,598,222 - (-4,151)|21,124 - (-712)|0 - (0)
 Miami Heat|July 15, 2018|15,602,373 - (-4,449)|21,836 - (-417)|0 - (0)
 Miami Heat|July 12, 2018|15,606,822 - (-5,430)|22,253 - (-1,746)|0 - (0)
 Miami Heat|July 9, 2018|15,612,252 - (-5,048)|23,999 - (+6,069)|0 - (0)
 Miami Heat|July 6, 2018|15,617,300 - (-5,559)|17,930 - (+6,660)|0 - (0)
 Miami Heat|July 3, 2018|15,622,859 - (-3,972)|11,270 - (-2,360)|0 - (0)
 Miami Heat|June 30, 2018|15,626,831 - (-4,774)|13,630 - (-1,819)|0 - (0)
 Miami Heat|June 27, 2018|15,631,605 - (-5,016)|15,449 - (-18,291)|0 - (0)
 Miami Heat|June 24, 2018|15,636,621 - (-4,155)|33,740 - (+3,215)|0 - (0)
 Miami Heat|June 21, 2018|15,640,776 - (-4,320)|30,525 - (+16,299)|0 - (0)
 Miami Heat|June 18, 2018|15,645,096 - (-3,532)|14,226 - (-14,148)|0 - (0)
 Miami Heat|June 15, 2018|15,648,628 - (-3,661)|28,374 - (-1,278)|0 - (0)
 Miami Heat|June 12, 2018|15,652,289 - (-2,389)|29,652 - (+17,168)|0 - (0)
 Miami Heat|June 9, 2018|15,654,678 - (-3,018)|12,484 - (-995)|0 - (0)
 Miami Heat|June 6, 2018|15,657,696 - (-2,547)|13,479 - (-698)|0 - (0)
 Miami Heat|June 3, 2018|15,660,243 - (-1,059)|14,177 - (-1,224)|0 - (0)
 Miami Heat|June 2, 2018|15,661,302 - (-64)|15,401 - (+2,229)|0 - (0)
 Miami Heat|June 1, 2018|15,661,366 - (-2,739)|13,172 - (-2,042)|0 - (0)
 Miami Heat|May 30, 2018|15,664,105 - (-960)|15,214 - (+448)|0 - (0)
 Miami Heat|May 29, 2018|15,665,065 - (-864)|14,766 - (-745)|0 - (0)
 Miami Heat|May 28, 2018|15,665,929 - (-984)|15,511 - (-89)|0 - (0)
 Miami Heat|May 27, 2018|15,666,913 - (-965)|15,600 - (-885)|0 - (0)
 Miami Heat|May 26, 2018|15,667,878 - (-879)|16,485 - (+542)|0 - (0)
 Miami Heat|May 25, 2018|15,668,757 - (-952)|15,943 - (+435)|0 - (0)
 Miami Heat|May 24, 2018|15,669,709 - (-1,005)|15,508 - (-495)|0 - (0)
 Miami Heat|May 23, 2018|15,670,714 - (-877)|16,003 - (-431)|0 - (0)
 Miami Heat|May 22, 2018|15,671,591 - (-805)|16,434 - (+218)|0 - (0)
 Miami Heat|May 21, 2018|15,672,396 - (-791)|16,216 - (-1,835)|0 - (0)
 Miami Heat|May 20, 2018|15,673,187 - (-931)|18,051 - (-1,135)|0 - (0)
 Miami Heat|May 19, 2018|15,674,118 - (-997)|19,186 - (-568)|0 - (0)
 Miami Heat|May 18, 2018|15,675,115 - (-1,066)|19,754 - (-111)|0 - (0)
