team|date|likes|talking_about|check_ins
 New Orleans Pelicans|March 27, 2019|1,744,890 - (-225)|5,170 - (+333)|0 - (0)
 New Orleans Pelicans|March 24, 2019|1,745,115 - (-195)|4,837 - (-1,560)|0 - (0)
 New Orleans Pelicans|March 21, 2019|1,745,310 - (-200)|6,397 - (+1,183)|0 - (0)
 New Orleans Pelicans|March 18, 2019|1,745,510 - (-320)|5,214 - (+1,266)|0 - (0)
 New Orleans Pelicans|March 15, 2019|1,745,830 - (-183)|3,948 - (-1,302)|0 - (0)
 New Orleans Pelicans|March 12, 2019|1,746,013 - (-123)|5,250 - (-5,037)|0 - (0)
 New Orleans Pelicans|March 9, 2019|1,746,136 - (-560)|10,287 - (-3,051)|0 - (0)
 New Orleans Pelicans|March 6, 2019|1,746,696 - (+61)|13,338 - (-4,638)|0 - (0)
 New Orleans Pelicans|March 3, 2019|1,746,635 - (-97)|17,976 - (-3,743)|0 - (0)
 New Orleans Pelicans|February 28, 2019|1,746,732 - (+199)|21,719 - (-1,289)|0 - (0)
 New Orleans Pelicans|February 25, 2019|1,746,533 - (+473)|23,008 - (-3,495)|0 - (0)
 New Orleans Pelicans|February 22, 2019|1,746,060 - (+188)|26,503 - (-1,222)|0 - (0)
 New Orleans Pelicans|February 19, 2019|1,745,872 - (+212)|27,725 - (+3,406)|0 - (0)
 New Orleans Pelicans|February 16, 2019|1,745,660 - (+355)|24,319 - (+5,876)|0 - (0)
 New Orleans Pelicans|February 13, 2019|1,745,305 - (+37)|18,443 - (+2,081)|0 - (0)
 New Orleans Pelicans|February 7, 2019|1,745,268 - (+295)|16,362 - (-707)|0 - (0)
 New Orleans Pelicans|February 4, 2019|1,744,973 - (+355)|17,069 - (-19,282)|0 - (0)
 New Orleans Pelicans|January 29, 2019|1,744,618 - (+386)|36,351 - (+30,681)|0 - (0)
 New Orleans Pelicans|January 26, 2019|1,744,232 - (-86)|5,670 - (+365)|0 - (0)
 New Orleans Pelicans|January 23, 2019|1,744,318 - (-95)|5,305 - (-982)|0 - (0)
 New Orleans Pelicans|January 20, 2019|1,744,413 - (-185)|6,287 - (-1,200)|0 - (0)
 New Orleans Pelicans|January 17, 2019|1,744,598 - (+47)|7,487 - (-5,758)|0 - (0)
 New Orleans Pelicans|January 14, 2019|1,744,551 - (-127)|13,245 - (-2,010)|0 - (0)
 New Orleans Pelicans|January 11, 2019|1,744,678 - (-115)|15,255 - (+1,632)|0 - (0)
 New Orleans Pelicans|January 8, 2019|1,744,793 - (+229)|13,623 - (+7,161)|0 - (0)
 New Orleans Pelicans|January 5, 2019|1,744,564 - (-94)|6,462 - (-5,329)|0 - (0)
 New Orleans Pelicans|January 2, 2019|1,744,658 - (-96)|11,791 - (-169)|0 - (0)
 New Orleans Pelicans|December 30, 2018|1,744,754 - (+55)|11,960 - (+4,574)|0 - (0)
 New Orleans Pelicans|December 27, 2018|1,744,699 - (-141)|7,386 - (-1,279)|0 - (0)
 New Orleans Pelicans|December 24, 2018|1,744,840 - (+65)|8,665 - (-7,893)|0 - (0)
 New Orleans Pelicans|December 21, 2018|1,744,775 - (+49)|16,558 - (-4,793)|0 - (0)
 New Orleans Pelicans|December 18, 2018|1,744,726 - (+218)|21,351 - (+824)|0 - (0)
 New Orleans Pelicans|December 15, 2018|1,744,508 - (+284)|20,527 - (+572)|0 - (0)
 New Orleans Pelicans|December 12, 2018|1,744,224 - (+420)|19,955 - (-1,616)|0 - (0)
 New Orleans Pelicans|December 9, 2018|1,743,804 - (+119)|21,571 - (-2,976)|0 - (0)
 New Orleans Pelicans|December 6, 2018|1,743,685 - (+271)|24,547 - (+725)|0 - (0)
 New Orleans Pelicans|December 3, 2018|1,743,414 - (+302)|23,822 - (+214)|0 - (0)
 New Orleans Pelicans|November 30, 2018|1,743,112 - (+270)|23,608 - (-994)|0 - (0)
 New Orleans Pelicans|November 27, 2018|1,742,842 - (+175)|24,602 - (+6,792)|0 - (0)
 New Orleans Pelicans|November 24, 2018|1,742,667 - (+182)|17,810 - (+4,615)|0 - (0)
 New Orleans Pelicans|November 21, 2018|1,742,485 - (+67)|13,195 - (+1,679)|0 - (0)
 New Orleans Pelicans|November 18, 2018|1,742,418 - (+113)|11,516 - (+3,578)|0 - (0)
 New Orleans Pelicans|November 15, 2018|1,742,305 - (+74)|7,938 - (+1,181)|0 - (0)
