team|date|likes|talking_about|check_ins
 Sacramento Kings|April 5, 2019|7,013,881 - (+10,762)|78,932 - (+9,763)|38,029 - (+10)
 Sacramento Kings|April 2, 2019|7,003,119 - (+10,975)|69,169 - (+1,106)|38,019 - (-1)
 Sacramento Kings|March 30, 2019|6,992,144 - (+7,117)|68,063 - (-2,688)|38,020 - (+1)
 Sacramento Kings|March 27, 2019|6,985,027 - (+6,875)|70,751 - (-29,877)|38,019 - (0)
 Sacramento Kings|March 24, 2019|6,978,152 - (+8,546)|100,628 - (+11,243)|38,019 - (+34)
 Sacramento Kings|March 21, 2019|6,969,606 - (+8,162)|89,385 - (+27,769)|37,985 - (+12)
 Sacramento Kings|March 18, 2019|6,961,444 - (+5,724)|61,616 - (-28,114)|37,973 - (+27)
 Sacramento Kings|March 15, 2019|6,955,720 - (+6,056)|89,730 - (-23,918)|37,946 - (+1)
 Sacramento Kings|March 12, 2019|6,949,664 - (+12,547)|113,648 - (+35,070)|37,945 - (+1)
 Sacramento Kings|March 9, 2019|6,937,117 - (+13,097)|78,578 - (+26,896)|37,944 - (+3)
 Sacramento Kings|March 6, 2019|6,924,020 - (+580)|51,682 - (-3,833)|37,941 - (+6)
 Sacramento Kings|March 3, 2019|6,923,440 - (+10,395)|55,515 - (-14,385)|37,935 - (+28)
 Sacramento Kings|February 28, 2019|6,913,045 - (-2,720)|69,900 - (-12,051)|37,907 - (+28)
 Sacramento Kings|February 25, 2019|6,915,765 - (-1,252)|81,951 - (+13,263)|37,879 - (-1)
 Sacramento Kings|February 22, 2019|6,917,017 - (+4,865)|68,688 - (-4,430)|37,880 - (-3)
 Sacramento Kings|February 19, 2019|6,912,152 - (+6,062)|73,118 - (+9,422)|37,883 - (+4)
 Sacramento Kings|February 16, 2019|6,906,090 - (+4,252)|63,696 - (-35,128)|37,879 - (+6)
 Sacramento Kings|February 13, 2019|6,901,838 - (+13,910)|98,824 - (-41,022)|37,873 - (+45)
 Sacramento Kings|February 7, 2019|6,887,928 - (+15,201)|139,846 - (+24,792)|37,828 - (+17)
 Sacramento Kings|February 4, 2019|6,872,727 - (+29,774)|115,054 - (-6,196)|37,811 - (+19)
 Sacramento Kings|January 29, 2019|6,842,953 - (+14,838)|121,250 - (-33,404)|37,792 - (-10)
 Sacramento Kings|January 26, 2019|6,828,115 - (+14,509)|154,654 - (+11,007)|37,802 - (-4)
 Sacramento Kings|January 23, 2019|6,813,606 - (+18,105)|143,647 - (+33,188)|37,806 - (+2)
 Sacramento Kings|January 20, 2019|6,795,501 - (+19,028)|110,459 - (+31,293)|37,804 - (-6)
 Sacramento Kings|January 17, 2019|6,776,473 - (-1,035)|79,166 - (+13,717)|37,810 - (+194)
 Sacramento Kings|January 14, 2019|6,777,508 - (-1,412)|65,449 - (-2,860)|37,616 - (+204)
 Sacramento Kings|January 11, 2019|6,778,920 - (-1,021)|68,309 - (-18,447)|37,412 - (+223)
 Sacramento Kings|January 8, 2019|6,779,941 - (-695)|86,756 - (-23,789)|37,189 - (+417)
 Sacramento Kings|January 5, 2019|6,780,636 - (+1,116)|110,545 - (-17,898)|36,772 - (+252)
 Sacramento Kings|January 2, 2019|6,779,520 - (+10,579)|128,443 - (-26,356)|36,520 - (+226)
 Sacramento Kings|December 30, 2018|6,768,941 - (+8,677)|154,799 - (+41,330)|36,294 - (+203)
 Sacramento Kings|December 27, 2018|6,760,264 - (+8,414)|113,469 - (+29,703)|36,091 - (-1)
 Sacramento Kings|December 24, 2018|6,751,850 - (+8,054)|83,766 - (+25,689)|36,092 - (+368)
 Sacramento Kings|December 21, 2018|6,743,796 - (+700)|58,077 - (+4,842)|35,724 - (+165)
 Sacramento Kings|December 18, 2018|6,743,096 - (-912)|53,235 - (-1,070)|35,559 - (+16)
 Sacramento Kings|December 15, 2018|6,744,008 - (-2,573)|54,305 - (+6,779)|35,543 - (+428)
 Sacramento Kings|December 12, 2018|6,746,581 - (-2,056)|47,526 - (-28,489)|35,115 - (-132)
 Sacramento Kings|December 9, 2018|6,748,637 - (-867)|76,015 - (-36,714)|35,247 - (+5)
 Sacramento Kings|December 6, 2018|6,749,504 - (+14,174)|112,729 - (+22,098)|35,242 - (-2)
 Sacramento Kings|December 3, 2018|6,735,330 - (+17,344)|90,631 - (+49,560)|35,244 - (+271)
 Sacramento Kings|November 30, 2018|6,717,986 - (-551)|41,071 - (-20,669)|34,973 - (+218)
 Sacramento Kings|November 27, 2018|6,718,537 - (-2,088)|61,740 - (-15,502)|34,755 - (+196)
 Sacramento Kings|November 24, 2018|6,720,625 - (-1,343)|77,242 - (+4,985)|34,559 - (-3)
 Sacramento Kings|November 21, 2018|6,721,968 - (+535)|72,257 - (+11,231)|34,562 - (+229)
 Sacramento Kings|November 18, 2018|6,721,433 - (+1,098)|61,026 - (+8,942)|34,333 - (+1)
 Sacramento Kings|November 15, 2018|6,720,335 - (+5,860)|52,084 - (-6,052)|34,332 - (+183)
 Sacramento Kings|November 12, 2018|6,714,475 - (+5,530)|58,136 - (-11,215)|34,149 - (+360)
 Sacramento Kings|November 9, 2018|6,708,945 - (+4,165)|69,351 - (-29,681)|33,789 - (+173)
 Sacramento Kings|November 6, 2018|6,704,780 - (+8,335)|99,032 - (+17,648)|33,616 - (-12)
