team|date|likes|talking_about|check_ins
 Los Angeles Lakers|April 5, 2019|21,663,500 - (-1,092)|178,559 - (-86,378)|0 - (0)
 Los Angeles Lakers|April 2, 2019|21,664,592 - (-104)|264,937 - (+57,728)|0 - (0)
 Los Angeles Lakers|March 30, 2019|21,664,696 - (+529)|207,209 - (+140,961)|0 - (0)
 Los Angeles Lakers|March 27, 2019|21,664,167 - (-825)|66,248 - (-10,899)|0 - (0)
 Los Angeles Lakers|March 24, 2019|21,664,992 - (-2,304)|77,147 - (-48,569)|0 - (0)
 Los Angeles Lakers|March 21, 2019|21,667,296 - (-1,596)|125,716 - (-39,541)|0 - (0)
 Los Angeles Lakers|March 18, 2019|21,668,892 - (-2,208)|165,257 - (-5,786)|0 - (0)
 Los Angeles Lakers|March 15, 2019|21,671,100 - (+115)|171,043 - (+9,100)|0 - (0)
 Los Angeles Lakers|March 12, 2019|21,670,985 - (-972)|161,943 - (-23,843)|0 - (0)
 Los Angeles Lakers|March 9, 2019|21,671,957 - (-296)|185,786 - (-9,718)|0 - (0)
 Los Angeles Lakers|March 6, 2019|21,672,253 - (+668)|195,504 - (+34,834)|0 - (0)
 Los Angeles Lakers|March 3, 2019|21,671,585 - (+1,452)|160,670 - (+21,102)|0 - (0)
 Los Angeles Lakers|February 28, 2019|21,670,133 - (-476)|139,568 - (-12,644)|0 - (0)
 Los Angeles Lakers|February 25, 2019|21,670,609 - (+9)|152,212 - (+45,227)|0 - (0)
 Los Angeles Lakers|February 22, 2019|21,670,600 - (+431)|106,985 - (+6,625)|0 - (0)
 Los Angeles Lakers|February 19, 2019|21,670,169 - (-2,118)|100,360 - (-39,384)|0 - (0)
 Los Angeles Lakers|February 16, 2019|21,672,287 - (-2,635)|139,744 - (-145,423)|0 - (0)
 Los Angeles Lakers|February 13, 2019|21,674,922 - (+575)|285,167 - (+1,905)|0 - (0)
 Los Angeles Lakers|February 10, 2019|21,674,347 - (+3,648)|283,262 - (+128,183)|0 - (0)
 Los Angeles Lakers|February 7, 2019|21,670,699 - (+390)|155,079 - (+2,839)|0 - (0)
 Los Angeles Lakers|February 4, 2019|21,670,309 - (+834)|152,240 - (+18,426)|0 - (0)
 Los Angeles Lakers|February 1, 2019|21,669,475 - (+1,436)|133,814 - (+2,821)|0 - (0)
 Los Angeles Lakers|January 29, 2019|21,668,039 - (-271)|130,993 - (-33,192)|0 - (0)
 Los Angeles Lakers|January 26, 2019|21,668,310 - (+145)|164,185 - (-12,857)|0 - (0)
 Los Angeles Lakers|January 23, 2019|21,668,165 - (+1,683)|177,042 - (+21,664)|0 - (0)
 Los Angeles Lakers|January 20, 2019|21,666,482 - (+2,730)|155,378 - (+32,736)|0 - (0)
