account|team|date|followers|following|tweets|lists|favourites
@DallasMavs|Dallas Mavericks|August 30, 2019|1,596,424  (+158)|520  (0)|39,682  (+1)|7,373  (0)|5,854  (0)
@DallasMavs|Dallas Mavericks|August 29, 2019|1,596,266  (+187)|520  (0)|39,681  (+3)|7,373  (+4)|5,854  (0)
@DallasMavs|Dallas Mavericks|August 28, 2019|1,596,079  (+167)|520  (0)|39,678  (+3)|7,369  (+3)|5,854  (0)
@DallasMavs|Dallas Mavericks|August 27, 2019|1,595,912  (+78)|520  (0)|39,675  (+7)|7,366  (+1)|5,854  (+8)
@DallasMavs|Dallas Mavericks|August 26, 2019|1,595,834  (+203)|520  (0)|39,668  (0)|7,365  (+1)|5,846  (+1)
@DallasMavs|Dallas Mavericks|August 25, 2019|1,595,631  (+180)|520  (0)|39,668  (0)|7,364  (+1)|5,845  (0)
@DallasMavs|Dallas Mavericks|August 24, 2019|1,595,451  (+225)|520  (0)|39,668  (+5)|7,363  (-3)|5,845  (+3)
@DallasMavs|Dallas Mavericks|August 23, 2019|1,595,226  (+128)|520  (-1)|39,663  (+3)|7,366  (-3)|5,842  (+1)
@DallasMavs|Dallas Mavericks|August 22, 2019|1,595,098  (+141)|521  (0)|39,660  (0)|7,369  (0)|5,841  (+1)
@DallasMavs|Dallas Mavericks|August 21, 2019|1,594,957  (+101)|521  (0)|39,660  (+1)|7,369  (+5)|5,840  (+1)
@DallasMavs|Dallas Mavericks|August 20, 2019|1,594,856  (+54)|521  (0)|39,659  (+5)|7,364  (-1)|5,839  (+2)
@DallasMavs|Dallas Mavericks|August 19, 2019|1,594,802  (+128)|521  (0)|39,654  (+3)|7,365  (-1)|5,837  (+1)
@DallasMavs|Dallas Mavericks|August 18, 2019|1,594,674  (+151)|521  (0)|39,651  (0)|7,366  (-3)|5,836  (0)
@DallasMavs|Dallas Mavericks|August 17, 2019|1,594,523  (+136)|521  (0)|39,651  (+5)|7,369  (+2)|5,836  (+2)
@DallasMavs|Dallas Mavericks|August 16, 2019|1,594,387  (+127)|521  (0)|39,646  (+2)|7,367  (-3)|5,834  (+2)
@DallasMavs|Dallas Mavericks|August 15, 2019|1,594,260  (+155)|521  (0)|39,644  (+3)|7,370  (-1)|5,832  (0)
@DallasMavs|Dallas Mavericks|August 14, 2019|1,594,105  (+173)|521  (0)|39,641  (+14)|7,371  (+4)|5,832  (-1)
@DallasMavs|Dallas Mavericks|August 13, 2019|1,593,932  (+233)|521  (0)|39,627  (+16)|7,367  (+2)|5,833  (+17)
@DallasMavs|Dallas Mavericks|August 12, 2019|1,593,699  (+142)|521  (0)|39,611  (+4)|7,365  (+2)|5,816  (+1)
@DallasMavs|Dallas Mavericks|August 11, 2019|1,593,557  (+168)|521  (0)|39,607  (+1)|7,363  (+4)|5,815  (+2)
@DallasMavs|Dallas Mavericks|August 10, 2019|1,593,389  (+172)|521  (0)|39,606  (+2)|7,359  (-9)|5,813  (+1)
@DallasMavs|Dallas Mavericks|August 9, 2019|1,593,217  (+177)|521  (0)|39,604  (+1)|7,368  (+5)|5,812  (-3)
@DallasMavs|Dallas Mavericks|August 8, 2019|1,593,040  (+172)|521  (0)|39,603  (+3)|7,363  (+1)|5,815  (+2)
@DallasMavs|Dallas Mavericks|August 7, 2019|1,592,868  (+136)|521  (0)|39,600  (+3)|7,362  (-1)|5,813  (+2)
@DallasMavs|Dallas Mavericks|August 6, 2019|1,592,732  (+172)|521  (0)|39,597  (+4)|7,363  (0)|5,811  (+1)
@DallasMavs|Dallas Mavericks|August 5, 2019|1,592,560  (+170)|521  (0)|39,593  (0)|7,363  (-4)|5,810  (0)
@DallasMavs|Dallas Mavericks|August 4, 2019|1,592,390  (+194)|521  (0)|39,593  (+4)|7,367  (0)|5,810  (+3)
@DallasMavs|Dallas Mavericks|August 3, 2019|1,592,196  (+142)|521  (0)|39,589  (0)|7,367  (+3)|5,807  (0)
