account|team|date|followers|following|tweets|lists|favourites
@Lakers|Los Angeles Lakers|February 22, 2020|8,621,301  (+3,487)|73  (0)|64,333  (+31)|22,164  (+2)|9,782  (+3)
@Lakers|Los Angeles Lakers|February 21, 2020|8,617,814  (+4,474)|73  (0)|64,302  (+7)|22,162  (-3)|9,779  (+2)
@Lakers|Los Angeles Lakers|February 20, 2020|8,613,340  (+4,510)|73  (0)|64,295  (+2)|22,165  (-2)|9,777  (+2)
@Lakers|Los Angeles Lakers|February 19, 2020|8,608,830  (+4,539)|73  (0)|64,293  (+6)|22,167  (+4)|9,775  (+1)
@Lakers|Los Angeles Lakers|February 18, 2020|8,604,291  (+5,260)|73  (0)|64,287  (+10)|22,163  (+5)|9,774  (+1)
@Lakers|Los Angeles Lakers|February 17, 2020|8,599,031  (+5,511)|73  (0)|64,277  (+30)|22,158  (+4)|9,773  (+1)
@Lakers|Los Angeles Lakers|February 16, 2020|8,593,520  (+4,503)|73  (0)|64,247  (+19)|22,154  (+4)|9,772  (0)
@Lakers|Los Angeles Lakers|February 15, 2020|8,589,017  (+4,593)|73  (0)|64,228  (+2)|22,150  (-8)|9,772  (+1)
@Lakers|Los Angeles Lakers|February 14, 2020|8,584,424  (+6,753)|73  (0)|64,226  (+24)|22,158  (+11)|9,771  (+9)
@Lakers|Los Angeles Lakers|February 13, 2020|8,577,671  (+6,792)|73  (0)|64,202  (+28)|22,147  (+1)|9,762  (+4)
@Lakers|Los Angeles Lakers|February 12, 2020|8,570,879  (+7,118)|73  (0)|64,174  (+19)|22,146  (+3)|9,758  (+2)
@Lakers|Los Angeles Lakers|February 11, 2020|8,563,761  (+7,556)|73  (0)|64,155  (+40)|22,143  (+9)|9,756  (+5)
@Lakers|Los Angeles Lakers|February 10, 2020|8,556,205  (+8,632)|73  (0)|64,115  (+5)|22,134  (+9)|9,751  (+4)
@Lakers|Los Angeles Lakers|February 9, 2020|8,547,573  (+13,026)|73  (0)|64,110  (+32)|22,125  (+6)|9,747  (+5)
@Lakers|Los Angeles Lakers|February 8, 2020|8,534,547  (+8,687)|73  (0)|64,078  (+11)|22,119  (+5)|9,742  (+1)
@Lakers|Los Angeles Lakers|February 7, 2020|8,525,860  (+7,513)|73  (0)|64,067  (+32)|22,114  (+12)|9,741  (+4)
@Lakers|Los Angeles Lakers|February 6, 2020|8,518,347  (+7,574)|73  (0)|64,035  (+20)|22,102  (-1)|9,737  (+6)
@Lakers|Los Angeles Lakers|February 5, 2020|8,510,773  (+5,814)|73  (0)|64,015  (+32)|22,103  (+9)|9,731  (+5)
@Lakers|Los Angeles Lakers|February 4, 2020|8,504,959  (+6,515)|73  (0)|63,983  (+5)|22,094  (+6)|9,726  (0)
@Lakers|Los Angeles Lakers|February 3, 2020|8,498,444  (+9,131)|73  (0)|63,978  (+6)|22,088  (+4)|9,726  (+1)
@Lakers|Los Angeles Lakers|February 2, 2020|8,489,313  (+25,993)|73  (-2)|63,972  (+40)|22,084  (+16)|9,725  (+35)
@Lakers|Los Angeles Lakers|February 1, 2020|8,463,320  (+22,054)|75  (+1)|63,932  (+29)|22,068  (+22)|9,690  (+62)
@Lakers|Los Angeles Lakers|January 31, 2020|8,441,266  (+19,182)|74  (0)|63,903  (0)|22,046  (+1)|9,628  (+130)
@Lakers|Los Angeles Lakers|January 30, 2020|8,422,084  (+12,568)|74  (0)|63,903  (+5)|22,045  (+14)|9,498  (+22)
@Lakers|Los Angeles Lakers|January 29, 2020|8,409,516  (+17,146)|74  (0)|63,898  (0)|22,031  (+18)|9,476  (0)
@Lakers|Los Angeles Lakers|January 28, 2020|8,392,370  (+36,810)|74  (0)|63,898  (0)|22,013  (+10)|9,476  (-1)
@Lakers|Los Angeles Lakers|January 27, 2020|8,355,560  (+62,267)|74  (0)|63,898  (0)|22,003  (+43)|9,477  (+1)
@Lakers|Los Angeles Lakers|January 26, 2020|8,293,293  (+2,189)|74  (+1)|63,898  (+35)|21,960  (+2)|9,476  (+4)
@Lakers|Los Angeles Lakers|January 25, 2020|8,291,104  (+1,841)|73  (0)|63,863  (+13)|21,958  (-1)|9,472  (+2)
@Lakers|Los Angeles Lakers|January 24, 2020|8,289,263  (+1,956)|73  (0)|63,850  (+45)|21,959  (+7)|9,470  (+3)
@Lakers|Los Angeles Lakers|January 23, 2020|8,287,307  (+1,919)|73  (0)|63,805  (+31)|21,952  (-2)|9,467  (+4)
@Lakers|Los Angeles Lakers|January 22, 2020|8,285,388  (+1,748)|73  (0)|63,774  (+1)|21,954  (-2)|9,463  (0)
@Lakers|Los Angeles Lakers|January 21, 2020|8,283,640  (+2,203)|73  (0)|63,773  (+27)|21,956  (+8)|9,463  (+3)
