date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Sun, Jun 2, 2019|8:00p|Golden State Warriors|109|Toronto Raptors|104|Box Score||20,014|
Wed, Jun 5, 2019|9:00p|Toronto Raptors|123|Golden State Warriors|109|Box Score||19,596|
Fri, Jun 7, 2019|9:00p|Toronto Raptors|105|Golden State Warriors|92|Box Score||19,596|
Mon, Jun 10, 2019|9:00p|Golden State Warriors|106|Toronto Raptors|105|Box Score||20,144|
Thu, Jun 13, 2019|9:00p|Toronto Raptors|114|Golden State Warriors|110|Box Score||19,596|
