date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Fri, Jan 1, 2010|7:30p|New York Knicks|112|Atlanta Hawks|108|Box Score|OT|17,366|
Fri, Jan 1, 2010|8:00p|Orlando Magic|106|Minnesota Timberwolves|94|Box Score||17,065|
Fri, Jan 1, 2010|10:30p|Sacramento Kings|108|Los Angeles Lakers|109|Box Score||18,997|
Sat, Jan 2, 2010|1:00p|Cleveland Cavaliers|94|New Jersey Nets|86|Box Score||17,569|
Sat, Jan 2, 2010|3:30p|Charlotte Bobcats|107|Miami Heat|97|Box Score||17,856|
Sat, Jan 2, 2010|7:00p|Minnesota Timberwolves|111|Indiana Pacers|122|Box Score||12,685|
Sat, Jan 2, 2010|7:00p|San Antonio Spurs|97|Washington Wizards|86|Box Score||19,025|
Sat, Jan 2, 2010|7:30p|Toronto Raptors|96|Boston Celtics|103|Box Score||18,624|
Sat, Jan 2, 2010|8:00p|Orlando Magic|93|Chicago Bulls|101|Box Score||21,162|
Sat, Jan 2, 2010|8:00p|Houston Rockets|95|New Orleans Hornets|99|Box Score||16,020|
Sat, Jan 2, 2010|8:30p|Oklahoma City Thunder|97|Milwaukee Bucks|103|Box Score|OT|15,264|
Sat, Jan 2, 2010|9:00p|Memphis Grizzlies|128|Phoenix Suns|103|Box Score||17,135|
Sat, Jan 2, 2010|9:00p|Denver Nuggets|105|Utah Jazz|95|Box Score||19,911|
Sat, Jan 2, 2010|10:00p|Golden State Warriors|89|Portland Trail Blazers|105|Box Score||20,507|
Sat, Jan 2, 2010|10:00p|Dallas Mavericks|99|Sacramento Kings|91|Box Score||14,294|
Sun, Jan 3, 2010|6:00p|Charlotte Bobcats|91|Cleveland Cavaliers|88|Box Score||20,562|
Sun, Jan 3, 2010|6:00p|Indiana Pacers|89|New York Knicks|132|Box Score||19,763|
Sun, Jan 3, 2010|6:00p|San Antonio Spurs|86|Toronto Raptors|91|Box Score||18,323|
Sun, Jan 3, 2010|8:00p|Philadelphia 76ers|108|Denver Nuggets|105|Box Score||19,155|
Sun, Jan 3, 2010|9:30p|Dallas Mavericks|96|Los Angeles Lakers|131|Box Score||18,997|
Mon, Jan 4, 2010|7:30p|Atlanta Hawks|75|Miami Heat|92|Box Score||16,500|
Mon, Jan 4, 2010|8:00p|Oklahoma City Thunder|98|Chicago Bulls|85|Box Score||18,838|
Mon, Jan 4, 2010|9:00p|New Orleans Hornets|91|Utah Jazz|87|Box Score||19,911|
Mon, Jan 4, 2010|10:30p|Portland Trail Blazers|95|Los Angeles Clippers|105|Box Score||15,104|
Tue, Jan 5, 2010|7:00p|Chicago Bulls|108|Charlotte Bobcats|113|Box Score||13,749|
Tue, Jan 5, 2010|7:00p|Orlando Magic|90|Indiana Pacers|97|Box Score||11,119|
Tue, Jan 5, 2010|7:00p|Washington Wizards|104|Philadelphia 76ers|97|Box Score||11,822|
Tue, Jan 5, 2010|7:30p|Milwaukee Bucks|98|New Jersey Nets|76|Box Score||11,101|
Tue, Jan 5, 2010|8:30p|Detroit Pistons|93|Dallas Mavericks|98|Box Score||19,799|
Tue, Jan 5, 2010|9:00p|Golden State Warriors|122|Denver Nuggets|123|Box Score||15,129|
Tue, Jan 5, 2010|10:00p|Memphis Grizzlies|109|Portland Trail Blazers|105|Box Score||20,278|
Tue, Jan 5, 2010|10:00p|Phoenix Suns|113|Sacramento Kings|109|Box Score||13,630|
Tue, Jan 5, 2010|10:30p|Houston Rockets|79|Los Angeles Lakers|88|Box Score||18,997|
Wed, Jan 6, 2010|7:00p|New Jersey Nets|89|Atlanta Hawks|119|Box Score||11,219|
Wed, Jan 6, 2010|7:00p|Washington Wizards|98|Cleveland Cavaliers|121|Box Score||20,562|
Wed, Jan 6, 2010|7:00p|Toronto Raptors|108|Orlando Magic|103|Box Score||17,461|
Wed, Jan 6, 2010|7:30p|Boston Celtics|112|Miami Heat|106|Box Score|OT|19,600|
Wed, Jan 6, 2010|8:00p|Golden State Warriors|107|Minnesota Timberwolves|101|Box Score||12,046|
Wed, Jan 6, 2010|8:00p|New Orleans Hornets|97|Oklahoma City Thunder|92|Box Score||17,836|
Wed, Jan 6, 2010|8:30p|Detroit Pistons|92|San Antonio Spurs|112|Box Score||17,337|
Wed, Jan 6, 2010|9:00p|Houston Rockets|110|Phoenix Suns|118|Box Score||15,811|
Wed, Jan 6, 2010|9:00p|Memphis Grizzlies|94|Utah Jazz|117|Box Score||19,008|
Wed, Jan 6, 2010|10:30p|Los Angeles Lakers|91|Los Angeles Clippers|102|Box Score||19,388|
Thu, Jan 7, 2010|7:30p|Charlotte Bobcats|93|New York Knicks|97|Box Score||19,763|
Fri, Jan 8, 2010|7:00p|Toronto Raptors|108|Philadelphia 76ers|106|Box Score||15,264|
Fri, Jan 8, 2010|7:00p|Orlando Magic|97|Washington Wizards|104|Box Score||20,173|
Fri, Jan 8, 2010|8:00p|Boston Celtics|85|Atlanta Hawks|93|Box Score||15,149|
Fri, Jan 8, 2010|8:00p|Utah Jazz|89|Memphis Grizzlies|91|Box Score||14,213|
Fri, Jan 8, 2010|8:00p|Indiana Pacers|109|Minnesota Timberwolves|116|Box Score||13,111|
Fri, Jan 8, 2010|8:00p|New Jersey Nets|99|New Orleans Hornets|103|Box Score||15,555|
Fri, Jan 8, 2010|8:30p|Chicago Bulls|93|Milwaukee Bucks|96|Box Score||18,717|
Fri, Jan 8, 2010|8:30p|Dallas Mavericks|112|San Antonio Spurs|103|Box Score||18,581|
Fri, Jan 8, 2010|9:00p|Miami Heat|109|Phoenix Suns|105|Box Score||18,422|
Fri, Jan 8, 2010|10:00p|Los Angeles Lakers|98|Portland Trail Blazers|107|Box Score||20,629|
Fri, Jan 8, 2010|10:30p|Cleveland Cavaliers|97|Denver Nuggets|99|Box Score||19,996|
Fri, Jan 8, 2010|10:30p|Sacramento Kings|101|Golden State Warriors|108|Box Score||18,327|
Sat, Jan 9, 2010|7:00p|Memphis Grizzlies|87|Charlotte Bobcats|89|Box Score||15,438|
Sat, Jan 9, 2010|7:00p|Atlanta Hawks|81|Orlando Magic|113|Box Score||17,461|
Sat, Jan 9, 2010|7:30p|Philadelphia 76ers|104|Detroit Pistons|94|Box Score||19,784|
Sat, Jan 9, 2010|8:00p|Minnesota Timberwolves|96|Chicago Bulls|110|Box Score||20,255|
Sat, Jan 9, 2010|8:00p|Indiana Pacers|102|Oklahoma City Thunder|108|Box Score||18,203|
Sat, Jan 9, 2010|8:30p|Utah Jazz|111|Dallas Mavericks|93|Box Score||19,922|
Sat, Jan 9, 2010|8:30p|New York Knicks|96|Houston Rockets|105|Box Score||15,693|
Sat, Jan 9, 2010|10:00p|Denver Nuggets|100|Sacramento Kings|102|Box Score||14,411|
Sun, Jan 10, 2010|1:00p|Boston Celtics|114|Toronto Raptors|107|Box Score||19,800|
Sun, Jan 10, 2010|1:00p|New Orleans Hornets|115|Washington Wizards|110|Box Score||14,753|
Sun, Jan 10, 2010|3:30p|Miami Heat|84|Los Angeles Clippers|94|Box Score||19,060|
Sun, Jan 10, 2010|7:00p|New Jersey Nets|85|San Antonio Spurs|97|Box Score||18,047|
Sun, Jan 10, 2010|9:00p|Cleveland Cavaliers|106|Portland Trail Blazers|94|Box Score||20,614|
Sun, Jan 10, 2010|9:30p|Milwaukee Bucks|77|Los Angeles Lakers|95|Box Score||18,997|
Mon, Jan 11, 2010|7:00p|Toronto Raptors|101|Indiana Pacers|105|Box Score||11,039|
Mon, Jan 11, 2010|7:00p|New Orleans Hornets|92|Philadelphia 76ers|96|Box Score||11,518|
Mon, Jan 11, 2010|7:30p|Atlanta Hawks|102|Boston Celtics|96|Box Score||18,624|
Mon, Jan 11, 2010|8:00p|Detroit Pistons|87|Chicago Bulls|120|Box Score||21,014|
Mon, Jan 11, 2010|8:00p|New York Knicks|88|Oklahoma City Thunder|106|Box Score||17,152|
Mon, Jan 11, 2010|9:00p|Minnesota Timberwolves|94|Denver Nuggets|105|Box Score||14,669|
Mon, Jan 11, 2010|9:00p|Milwaukee Bucks|101|Phoenix Suns|105|Box Score||15,116|
Mon, Jan 11, 2010|9:00p|Miami Heat|89|Utah Jazz|118|Box Score||19,284|
Mon, Jan 11, 2010|10:30p|Cleveland Cavaliers|117|Golden State Warriors|114|Box Score||19,596|
Tue, Jan 12, 2010|7:00p|Houston Rockets|94|Charlotte Bobcats|102|Box Score||11,463|
Tue, Jan 12, 2010|7:00p|Detroit Pistons|99|Washington Wizards|90|Box Score||13,544|
Tue, Jan 12, 2010|8:00p|Los Angeles Clippers|102|Memphis Grizzlies|104|Box Score||11,004|
Tue, Jan 12, 2010|8:30p|Los Angeles Lakers|85|San Antonio Spurs|105|Box Score||18,581|
Tue, Jan 12, 2010|10:00p|Orlando Magic|109|Sacramento Kings|88|Box Score||14,426|
Wed, Jan 13, 2010|7:00p|Washington Wizards|82|Atlanta Hawks|94|Box Score||9,695|
Wed, Jan 13, 2010|7:00p|Phoenix Suns|114|Indiana Pacers|122|Box Score||10,858|
Wed, Jan 13, 2010|7:00p|New York Knicks|93|Philadelphia 76ers|92|Box Score||12,444|
Wed, Jan 13, 2010|7:30p|Boston Celtics|111|New Jersey Nets|87|Box Score||14,112|
Wed, Jan 13, 2010|8:00p|Los Angeles Clippers|94|New Orleans Hornets|108|Box Score||14,348|
Wed, Jan 13, 2010|8:00p|San Antonio Spurs|109|Oklahoma City Thunder|108|Box Score|OT|17,886|
Wed, Jan 13, 2010|8:30p|Los Angeles Lakers|100|Dallas Mavericks|95|Box Score||20,491|
Wed, Jan 13, 2010|8:30p|Minnesota Timberwolves|114|Houston Rockets|120|Box Score|3OT|15,175|
Wed, Jan 13, 2010|9:00p|Orlando Magic|97|Denver Nuggets|115|Box Score||18,475|
Wed, Jan 13, 2010|10:00p|Milwaukee Bucks|108|Portland Trail Blazers|120|Box Score||20,465|
Wed, Jan 13, 2010|10:30p|Miami Heat|115|Golden State Warriors|102|Box Score||17,121|
Thu, Jan 14, 2010|8:00p|Chicago Bulls|96|Boston Celtics|83|Box Score||18,624|
Thu, Jan 14, 2010|10:30p|Cleveland Cavaliers|96|Utah Jazz|97|Box Score||19,911|
Fri, Jan 15, 2010|7:00p|San Antonio Spurs|76|Charlotte Bobcats|92|Box Score||15,742|
Fri, Jan 15, 2010|7:00p|Sacramento Kings|86|Philadelphia 76ers|98|Box Score||16,767|
Fri, Jan 15, 2010|8:00p|Phoenix Suns|101|Atlanta Hawks|102|Box Score||17,605|
Fri, Jan 15, 2010|8:00p|Washington Wizards|119|Chicago Bulls|121|Box Score|2OT|20,304|
Fri, Jan 15, 2010|8:00p|New Orleans Hornets|104|Detroit Pistons|110|Box Score|OT|17,446|
Fri, Jan 15, 2010|8:00p|Minnesota Timberwolves|110|Memphis Grizzlies|135|Box Score||12,812|
Fri, Jan 15, 2010|8:00p|Indiana Pacers|121|New Jersey Nets|105|Box Score||13,656|
Fri, Jan 15, 2010|8:00p|Toronto Raptors|112|New York Knicks|104|Box Score||19,763|
