date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance
Sun, May 2, 2004|1:00p|Miami Heat|83|New Orleans Hornets|89|Box Score|17,297|
Sun, May 2, 2004|3:30p|Los Angeles Lakers|78|San Antonio Spurs|88|Box Score|18,797|
Mon, May 3, 2004|8:00p|New Jersey Nets|56|Detroit Pistons|78|Box Score|22,076|
Tue, May 4, 2004|7:00p|New Orleans Hornets|77|Miami Heat|85|Box Score|20,286|
Tue, May 4, 2004|9:30p|Sacramento Kings|104|Minnesota Timberwolves|98|Box Score|18,792|
Wed, May 5, 2004|9:00p|Los Angeles Lakers|85|San Antonio Spurs|95|Box Score|18,797|
Thu, May 6, 2004|9:00p|Miami Heat|81|Indiana Pacers|94|Box Score|18,345|
Fri, May 7, 2004|8:00p|New Jersey Nets|80|Detroit Pistons|95|Box Score|22,076|
Sat, May 8, 2004|7:00p|Miami Heat|80|Indiana Pacers|91|Box Score|18,345|
Sat, May 8, 2004|9:30p|Sacramento Kings|89|Minnesota Timberwolves|94|Box Score|19,599|
Sun, May 9, 2004|3:30p|San Antonio Spurs|81|Los Angeles Lakers|105|Box Score|18,997|
Sun, May 9, 2004|8:00p|Detroit Pistons|64|New Jersey Nets|82|Box Score|19,000|
Mon, May 10, 2004|8:00p|Indiana Pacers|87|Miami Heat|94|Box Score|20,115|
Mon, May 10, 2004|10:30p|Minnesota Timberwolves|114|Sacramento Kings|113|Box Score|OT|17,317
Tue, May 11, 2004|8:00p|Detroit Pistons|79|New Jersey Nets|94|Box Score|19,860|
Tue, May 11, 2004|10:30p|San Antonio Spurs|90|Los Angeles Lakers|98|Box Score|18,997|
Wed, May 12, 2004|8:00p|Indiana Pacers|88|Miami Heat|100|Box Score|20,128|
Wed, May 12, 2004|10:30p|Minnesota Timberwolves|81|Sacramento Kings|87|Box Score|17,317|
Thu, May 13, 2004|8:00p|Los Angeles Lakers|74|San Antonio Spurs|73|Box Score|18,797|
Fri, May 14, 2004|7:00p|New Jersey Nets|127|Detroit Pistons|120|Box Score|3OT|22,076
Fri, May 14, 2004|9:30p|Sacramento Kings|74|Minnesota Timberwolves|86|Box Score|19,818|
Sat, May 15, 2004|8:00p|Miami Heat|83|Indiana Pacers|94|Box Score|18,345|
Sat, May 15, 2004|10:30p|San Antonio Spurs|76|Los Angeles Lakers|88|Box Score|18,997|
Sun, May 16, 2004|3:30p|Minnesota Timberwolves|87|Sacramento Kings|104|Box Score|17,317|
Sun, May 16, 2004|8:00p|Detroit Pistons|81|New Jersey Nets|75|Box Score|19,968|
Tue, May 18, 2004|8:00p|Indiana Pacers|73|Miami Heat|70|Box Score|20,136|
Wed, May 19, 2004|8:30p|Sacramento Kings|80|Minnesota Timberwolves|83|Box Score|19,944|
Thu, May 20, 2004|8:00p|New Jersey Nets|69|Detroit Pistons|90|Box Score|22,076|
Fri, May 21, 2004|9:00p|Los Angeles Lakers|97|Minnesota Timberwolves|88|Box Score|19,552|
Sat, May 22, 2004|8:00p|Detroit Pistons|74|Indiana Pacers|78|Box Score|18,345|
Sun, May 23, 2004|8:30p|Los Angeles Lakers|71|Minnesota Timberwolves|89|Box Score|19,707|
Mon, May 24, 2004|8:00p|Detroit Pistons|72|Indiana Pacers|67|Box Score|18,345|
Tue, May 25, 2004|9:00p|Minnesota Timberwolves|89|Los Angeles Lakers|100|Box Score|18,997|
Wed, May 26, 2004|8:30p|Indiana Pacers|78|Detroit Pistons|85|Box Score|22,076|
Thu, May 27, 2004|9:00p|Minnesota Timberwolves|85|Los Angeles Lakers|92|Box Score|18,997|
Fri, May 28, 2004|8:00p|Indiana Pacers|83|Detroit Pistons|68|Box Score|22,076|
Sat, May 29, 2004|8:30p|Los Angeles Lakers|96|Minnesota Timberwolves|98|Box Score|20,109|
Sun, May 30, 2004|8:00p|Detroit Pistons|83|Indiana Pacers|65|Box Score|18,345|
Mon, May 31, 2004|9:00p|Minnesota Timberwolves|90|Los Angeles Lakers|96|Box Score|18,997|
