date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Tue, Oct 30, 2007|8:00p|Portland Trail Blazers|97|San Antonio Spurs|106|Box Score||18,797|
Tue, Oct 30, 2007|10:30p|Utah Jazz|117|Golden State Warriors|96|Box Score||19,832|
Tue, Oct 30, 2007|10:30p|Houston Rockets|95|Los Angeles Lakers|93|Box Score||18,997|
Wed, Oct 31, 2007|7:00p|Washington Wizards|110|Indiana Pacers|119|Box Score|OT|16,212|
Wed, Oct 31, 2007|7:00p|Milwaukee Bucks|83|Orlando Magic|102|Box Score||17,519|
Wed, Oct 31, 2007|7:00p|Philadelphia 76ers|97|Toronto Raptors|106|Box Score||19,800|
Wed, Oct 31, 2007|7:30p|Chicago Bulls|103|New Jersey Nets|112|Box Score|OT|17,342|
Wed, Oct 31, 2007|8:00p|Dallas Mavericks|92|Cleveland Cavaliers|74|Box Score||20,562|
Wed, Oct 31, 2007|8:00p|San Antonio Spurs|104|Memphis Grizzlies|101|Box Score||17,538|
Wed, Oct 31, 2007|8:00p|Sacramento Kings|90|New Orleans Hornets|104|Box Score||15,188|
Wed, Oct 31, 2007|10:30p|Seattle SuperSonics|103|Denver Nuggets|120|Box Score||19,380|
