date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Mon, Feb 5, 2018|7:00p|Washington Wizards|111|Indiana Pacers|102|Box Score||13,169|
Mon, Feb 5, 2018|7:30p|Orlando Magic|111|Miami Heat|109|Box Score||19,600|
Mon, Feb 5, 2018|8:00p|Utah Jazz|133|New Orleans Pelicans|109|Box Score||14,293|
Mon, Feb 5, 2018|9:00p|Charlotte Hornets|104|Denver Nuggets|121|Box Score||14,410|
Mon, Feb 5, 2018|10:00p|Chicago Bulls|98|Sacramento Kings|104|Box Score||17,583|
Mon, Feb 5, 2018|10:30p|Dallas Mavericks|101|Los Angeles Clippers|104|Box Score||15,127|
Tue, Feb 6, 2018|7:00p|Cleveland Cavaliers|98|Orlando Magic|116|Box Score||18,846|
Tue, Feb 6, 2018|7:30p|Memphis Grizzlies|82|Atlanta Hawks|108|Box Score||11,866|
Tue, Feb 6, 2018|7:30p|Houston Rockets|123|Brooklyn Nets|113|Box Score||15,064|
Tue, Feb 6, 2018|7:30p|Milwaukee Bucks|103|New York Knicks|89|Box Score||19,812|
Tue, Feb 6, 2018|7:30p|Boston Celtics|91|Toronto Raptors|111|Box Score||20,017|
Tue, Feb 6, 2018|8:00p|Washington Wizards|102|Philadelphia 76ers|115|Box Score||20,530|
Tue, Feb 6, 2018|10:30p|Oklahoma City Thunder|125|Golden State Warriors|105|Box Score||19,596|
Tue, Feb 6, 2018|10:30p|Phoenix Suns|93|Los Angeles Lakers|112|Box Score||18,997|
Wed, Feb 7, 2018|7:00p|Brooklyn Nets|106|Detroit Pistons|115|Box Score||15,114|
Wed, Feb 7, 2018|7:30p|Houston Rockets|109|Miami Heat|101|Box Score||19,600|
Wed, Feb 7, 2018|8:00p|Minnesota Timberwolves|138|Cleveland Cavaliers|140|Box Score|OT|20,562|
Wed, Feb 7, 2018|8:00p|Utah Jazz|92|Memphis Grizzlies|88|Box Score||13,187|
Wed, Feb 7, 2018|10:30p|San Antonio Spurs|129|Phoenix Suns|81|Box Score||15,993|
Thu, Feb 8, 2018|7:00p|Atlanta Hawks|98|Orlando Magic|100|Box Score||16,215|
Thu, Feb 8, 2018|7:30p|New York Knicks|88|Toronto Raptors|113|Box Score||19,800|
Thu, Feb 8, 2018|8:00p|Boston Celtics|110|Washington Wizards|104|Box Score|OT|20,356|
Thu, Feb 8, 2018|10:00p|Charlotte Hornets|103|Portland Trail Blazers|109|Box Score|OT|19,178|
Thu, Feb 8, 2018|10:30p|Dallas Mavericks|103|Golden State Warriors|121|Box Score||19,596|
Thu, Feb 8, 2018|10:30p|Oklahoma City Thunder|81|Los Angeles Lakers|106|Box Score||18,997|
Fri, Feb 9, 2018|7:00p|Los Angeles Clippers|108|Detroit Pistons|95|Box Score||16,697|
Fri, Feb 9, 2018|7:00p|New Orleans Pelicans|82|Philadelphia 76ers|100|Box Score||20,489|
Fri, Feb 9, 2018|7:30p|Cleveland Cavaliers|123|Atlanta Hawks|107|Box Score||16,438|
Fri, Feb 9, 2018|7:30p|Indiana Pacers|97|Boston Celtics|91|Box Score||18,624|
Fri, Feb 9, 2018|8:00p|Denver Nuggets|104|Houston Rockets|130|Box Score||18,055|
Fri, Feb 9, 2018|8:00p|Milwaukee Bucks|85|Miami Heat|91|Box Score||20,018|
Fri, Feb 9, 2018|9:00p|Charlotte Hornets|94|Utah Jazz|106|Box Score||18,306|
Fri, Feb 9, 2018|9:30p|Minnesota Timberwolves|113|Chicago Bulls|114|Box Score||21,558|
Fri, Feb 9, 2018|10:30p|Portland Trail Blazers|118|Sacramento Kings|100|Box Score||17,583|
Sat, Feb 10, 2018|6:00p|New Orleans Pelicans|138|Brooklyn Nets|128|Box Score|2OT|16,572|
Sat, Feb 10, 2018|7:00p|Milwaukee Bucks|111|Orlando Magic|104|Box Score||18,347|
Sat, Feb 10, 2018|7:00p|Los Angeles Clippers|98|Philadelphia 76ers|112|Box Score||20,504|
Sat, Feb 10, 2018|8:00p|Washington Wizards|101|Chicago Bulls|90|Box Score||21,112|
Sat, Feb 10, 2018|8:30p|Los Angeles Lakers|123|Dallas Mavericks|130|Box Score||20,162|
Sat, Feb 10, 2018|8:30p|San Antonio Spurs|105|Golden State Warriors|122|Box Score||19,596|
Sat, Feb 10, 2018|9:00p|Denver Nuggets|123|Phoenix Suns|113|Box Score||16,325|
Sun, Feb 11, 2018|1:00p|Toronto Raptors|123|Charlotte Hornets|103|Box Score||18,320|
Sun, Feb 11, 2018|3:30p|Detroit Pistons|115|Atlanta Hawks|118|Box Score||15,214|
Sun, Feb 11, 2018|3:30p|Cleveland Cavaliers|121|Boston Celtics|99|Box Score||18,624|
Sun, Feb 11, 2018|5:00p|New York Knicks|113|Indiana Pacers|121|Box Score||17,923|
Sun, Feb 11, 2018|7:00p|Dallas Mavericks|97|Houston Rockets|104|Box Score||18,055|
Sun, Feb 11, 2018|7:00p|Sacramento Kings|106|Minnesota Timberwolves|111|Box Score||18,068|
Sun, Feb 11, 2018|7:00p|Memphis Grizzlies|92|Oklahoma City Thunder|110|Box Score||18,203|
Sun, Feb 11, 2018|9:00p|Utah Jazz|115|Portland Trail Blazers|96|Box Score||19,730|
Mon, Feb 12, 2018|7:00p|New Orleans Pelicans|118|Detroit Pistons|103|Box Score||14,453|
Mon, Feb 12, 2018|7:00p|New York Knicks|92|Philadelphia 76ers|108|Box Score||20,589|
Mon, Feb 12, 2018|7:30p|Los Angeles Clippers|114|Brooklyn Nets|101|Box Score||13,735|
