date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Thu, Jun 3, 2010|9:00p|Boston Celtics|89|Los Angeles Lakers|102|Box Score||18,997|
Sun, Jun 6, 2010|8:00p|Boston Celtics|103|Los Angeles Lakers|94|Box Score||18,997|
Tue, Jun 8, 2010|9:00p|Los Angeles Lakers|91|Boston Celtics|84|Box Score||18,624|
Thu, Jun 10, 2010|9:00p|Los Angeles Lakers|89|Boston Celtics|96|Box Score||18,624|
Sun, Jun 13, 2010|8:00p|Los Angeles Lakers|86|Boston Celtics|92|Box Score||18,624|
Tue, Jun 15, 2010|9:00p|Boston Celtics|67|Los Angeles Lakers|89|Box Score||18,997|
Thu, Jun 17, 2010|9:00p|Boston Celtics|79|Los Angeles Lakers|83|Box Score||18,997|
