date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Thu, Apr 1, 2010|8:00p|Orlando Magic|97|Dallas Mavericks|82|Box Score||19,965|
Thu, Apr 1, 2010|10:30p|Portland Trail Blazers|92|Denver Nuggets|109|Box Score||19,155|
Fri, Apr 2, 2010|7:00p|Milwaukee Bucks|86|Charlotte Bobcats|87|Box Score|OT|18,118|
Fri, Apr 2, 2010|7:00p|Miami Heat|105|Indiana Pacers|96|Box Score|OT|16,787|
Fri, Apr 2, 2010|7:00p|Chicago Bulls|95|Washington Wizards|87|Box Score||18,002|
Fri, Apr 2, 2010|7:30p|Houston Rockets|119|Boston Celtics|114|Box Score|OT|18,624|
Fri, Apr 2, 2010|8:00p|Atlanta Hawks|88|Cleveland Cavaliers|93|Box Score||20,562|
Fri, Apr 2, 2010|8:00p|Phoenix Suns|109|Detroit Pistons|94|Box Score||22,076|
Fri, Apr 2, 2010|8:00p|New Orleans Hornets|96|Memphis Grizzlies|107|Box Score||15,043|
Fri, Apr 2, 2010|8:30p|Orlando Magic|100|San Antonio Spurs|112|Box Score||18,581|
Fri, Apr 2, 2010|10:30p|New York Knicks|117|Golden State Warriors|128|Box Score||19,230|
Fri, Apr 2, 2010|10:30p|Utah Jazz|92|Los Angeles Lakers|106|Box Score||18,997|
Sat, Apr 3, 2010|1:00p|Toronto Raptors|128|Philadelphia 76ers|123|Box Score|OT|13,430|
Sat, Apr 3, 2010|7:00p|Detroit Pistons|85|Atlanta Hawks|91|Box Score||18,729|
Sat, Apr 3, 2010|7:30p|New Orleans Hornets|87|New Jersey Nets|115|Box Score||14,698|
Sat, Apr 3, 2010|8:00p|Charlotte Bobcats|88|Chicago Bulls|96|Box Score||20,996|
Sat, Apr 3, 2010|8:00p|Miami Heat|97|Minnesota Timberwolves|84|Box Score||17,601|
Sat, Apr 3, 2010|8:30p|Oklahoma City Thunder|121|Dallas Mavericks|116|Box Score||20,329|
Sat, Apr 3, 2010|8:30p|Phoenix Suns|98|Milwaukee Bucks|107|Box Score||16,436|
Sat, Apr 3, 2010|9:00p|Los Angeles Clippers|90|Denver Nuggets|98|Box Score||19,155|
Sat, Apr 3, 2010|10:00p|Portland Trail Blazers|98|Sacramento Kings|87|Box Score||12,875|
Sun, Apr 4, 2010|1:00p|Cleveland Cavaliers|113|Boston Celtics|117|Box Score||18,624|
Sun, Apr 4, 2010|3:30p|San Antonio Spurs|100|Los Angeles Lakers|81|Box Score||18,997|
Sun, Apr 4, 2010|6:00p|Houston Rockets|102|Indiana Pacers|133|Box Score||14,201|
Sun, Apr 4, 2010|6:00p|Memphis Grizzlies|92|Orlando Magic|107|Box Score||17,461|
Sun, Apr 4, 2010|6:00p|Golden State Warriors|113|Toronto Raptors|112|Box Score||17,509|
