date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Sun, Mar 1, 2009|1:00p|Detroit Pistons|105|Boston Celtics|95|Box Score||18,624|
Sun, Mar 1, 2009|3:30p|Los Angeles Lakers|111|Phoenix Suns|118|Box Score||18,422|
Sun, Mar 1, 2009|6:00p|New Orleans Hornets|99|New Jersey Nets|96|Box Score||15,509|
Sun, Mar 1, 2009|7:00p|Denver Nuggets|94|Indiana Pacers|100|Box Score||12,458|
Sun, Mar 1, 2009|7:00p|Houston Rockets|105|Minnesota Timberwolves|94|Box Score||13,716|
Sun, Mar 1, 2009|8:00p|Cleveland Cavaliers|88|Atlanta Hawks|87|Box Score||19,639|
Sun, Mar 1, 2009|8:00p|San Antonio Spurs|84|Portland Trail Blazers|102|Box Score||20,627|
Sun, Mar 1, 2009|9:00p|Toronto Raptors|98|Dallas Mavericks|109|Box Score||19,688|
Sun, Mar 1, 2009|9:00p|Utah Jazz|112|Golden State Warriors|104|Box Score||18,347|
Mon, Mar 2, 2009|7:00p|New Orleans Hornets|98|Philadelphia 76ers|91|Box Score||14,299|
Mon, Mar 2, 2009|7:00p|Atlanta Hawks|98|Washington Wizards|89|Box Score||10,189|
Mon, Mar 2, 2009|7:30p|Cleveland Cavaliers|107|Miami Heat|100|Box Score||19,600|
Mon, Mar 2, 2009|8:00p|Dallas Mavericks|87|Oklahoma City Thunder|96|Box Score||18,527|
Mon, Mar 2, 2009|10:30p|San Antonio Spurs|106|Los Angeles Clippers|78|Box Score||17,649|
Tue, Mar 3, 2009|7:00p|Chicago Bulls|80|Charlotte Bobcats|96|Box Score||14,216|
Tue, Mar 3, 2009|7:00p|Phoenix Suns|99|Orlando Magic|111|Box Score||17,461|
Tue, Mar 3, 2009|7:30p|Denver Nuggets|95|Detroit Pistons|100|Box Score||22,076|
Tue, Mar 3, 2009|8:00p|New Jersey Nets|99|Milwaukee Bucks|95|Box Score||13,967|
Tue, Mar 3, 2009|8:00p|Golden State Warriors|118|Minnesota Timberwolves|94|Box Score||14,780|
Tue, Mar 3, 2009|8:30p|Toronto Raptors|97|Houston Rockets|107|Box Score||16,291|
Tue, Mar 3, 2009|10:00p|Indiana Pacers|117|Sacramento Kings|109|Box Score||10,748|
Tue, Mar 3, 2009|10:30p|Memphis Grizzlies|89|Los Angeles Lakers|99|Box Score||18,997|
Wed, Mar 4, 2009|7:00p|Milwaukee Bucks|73|Cleveland Cavaliers|91|Box Score||20,562|
Wed, Mar 4, 2009|7:30p|Phoenix Suns|129|Miami Heat|135|Box Score||19,600|
Wed, Mar 4, 2009|7:30p|Boston Celtics|115|New Jersey Nets|111|Box Score||15,791|
Wed, Mar 4, 2009|7:30p|Atlanta Hawks|105|New York Knicks|109|Box Score||18,931|
Wed, Mar 4, 2009|8:00p|Washington Wizards|83|Oklahoma City Thunder|88|Box Score||18,576|
Wed, Mar 4, 2009|8:30p|Golden State Warriors|88|Chicago Bulls|110|Box Score||20,108|
Wed, Mar 4, 2009|9:00p|San Antonio Spurs|102|Dallas Mavericks|107|Box Score||20,316|
Wed, Mar 4, 2009|9:00p|Houston Rockets|94|Utah Jazz|101|Box Score||19,911|
Wed, Mar 4, 2009|10:00p|Indiana Pacers|105|Portland Trail Blazers|107|Box Score||20,020|
Wed, Mar 4, 2009|10:30p|Memphis Grizzlies|118|Los Angeles Clippers|95|Box Score||13,813|
Thu, Mar 5, 2009|8:00p|Dallas Mavericks|88|New Orleans Hornets|104|Box Score||17,230|
Thu, Mar 5, 2009|10:30p|Portland Trail Blazers|90|Denver Nuggets|106|Box Score||16,801|
Fri, Mar 6, 2009|7:00p|Atlanta Hawks|91|Charlotte Bobcats|98|Box Score||15,058|
Fri, Mar 6, 2009|7:00p|New Jersey Nets|102|Orlando Magic|105|Box Score||17,461|
Fri, Mar 6, 2009|7:00p|Miami Heat|108|Toronto Raptors|102|Box Score||19,800|
Fri, Mar 6, 2009|8:00p|Cleveland Cavaliers|94|Boston Celtics|105|Box Score||18,624|
Fri, Mar 6, 2009|8:00p|Golden State Warriors|91|Detroit Pistons|108|Box Score||22,076|
Fri, Mar 6, 2009|8:30p|Milwaukee Bucks|102|Chicago Bulls|117|Box Score||21,186|
Fri, Mar 6, 2009|8:30p|Phoenix Suns|112|Houston Rockets|116|Box Score||18,045|
Fri, Mar 6, 2009|8:30p|Washington Wizards|78|San Antonio Spurs|100|Box Score||18,440|
Fri, Mar 6, 2009|10:30p|Minnesota Timberwolves|90|Los Angeles Lakers|110|Box Score||18,997|
Fri, Mar 6, 2009|10:30p|Denver Nuggets|91|Utah Jazz|97|Box Score||19,911|
Sat, Mar 7, 2009|7:00p|Detroit Pistons|83|Atlanta Hawks|87|Box Score||19,101|
Sat, Mar 7, 2009|7:30p|Miami Heat|89|Cleveland Cavaliers|99|Box Score||20,562|
Sat, Mar 7, 2009|7:30p|Charlotte Bobcats|114|New York Knicks|105|Box Score||19,763|
Sat, Mar 7, 2009|8:00p|Philadelphia 76ers|110|Memphis Grizzlies|105|Box Score||14,458|
Sat, Mar 7, 2009|8:00p|Oklahoma City Thunder|90|New Orleans Hornets|108|Box Score||18,114|
Sat, Mar 7, 2009|8:30p|Washington Wizards|103|Dallas Mavericks|119|Box Score||20,150|
Sat, Mar 7, 2009|8:30p|Golden State Warriors|120|Milwaukee Bucks|127|Box Score||15,569|
Sat, Mar 7, 2009|10:00p|Minnesota Timberwolves|93|Portland Trail Blazers|95|Box Score||20,535|
Sat, Mar 7, 2009|10:30p|Indiana Pacers|106|Los Angeles Clippers|105|Box Score||16,518|
Sun, Mar 8, 2009|12:30p|Utah Jazz|109|Toronto Raptors|101|Box Score||18,541|
Sun, Mar 8, 2009|1:00p|Orlando Magic|86|Boston Celtics|79|Box Score||18,624|
Sun, Mar 8, 2009|3:30p|Phoenix Suns|98|San Antonio Spurs|103|Box Score||18,797|
Sun, Mar 8, 2009|6:00p|New York Knicks|101|New Jersey Nets|106|Box Score||18,846|
Sun, Mar 8, 2009|7:00p|Memphis Grizzlies|83|Houston Rockets|93|Box Score||16,179|
Sun, Mar 8, 2009|7:00p|Philadelphia 76ers|74|Oklahoma City Thunder|89|Box Score||18,738|
Sun, Mar 8, 2009|9:00p|Denver Nuggets|106|Sacramento Kings|114|Box Score||12,678|
Mon, Mar 9, 2009|7:00p|New Orleans Hornets|79|Atlanta Hawks|89|Box Score||14,204|
