date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Wed, Jan 2, 2008|7:00p|Chicago Bulls|109|Charlotte Bobcats|97|Box Score||11,568|
Wed, Jan 2, 2008|7:00p|Atlanta Hawks|94|Cleveland Cavaliers|98|Box Score||20,562|
Wed, Jan 2, 2008|7:00p|Memphis Grizzlies|90|Indiana Pacers|72|Box Score||10,186|
Wed, Jan 2, 2008|7:00p|New Jersey Nets|96|Orlando Magic|95|Box Score||17,519|
Wed, Jan 2, 2008|7:00p|Detroit Pistons|106|Washington Wizards|93|Box Score||15,763|
Wed, Jan 2, 2008|7:30p|Houston Rockets|93|Boston Celtics|97|Box Score||18,624|
Wed, Jan 2, 2008|7:30p|Milwaukee Bucks|103|Miami Heat|98|Box Score||19,600|
Wed, Jan 2, 2008|7:30p|Sacramento Kings|107|New York Knicks|97|Box Score||19,763|
Wed, Jan 2, 2008|8:00p|Portland Trail Blazers|90|Minnesota Timberwolves|79|Box Score||13,339|
Wed, Jan 2, 2008|8:30p|Golden State Warriors|99|Dallas Mavericks|121|Box Score||20,172|
Wed, Jan 2, 2008|9:00p|Philadelphia 76ers|107|Utah Jazz|110|Box Score||19,911|
Wed, Jan 2, 2008|10:30p|New Orleans Hornets|95|Los Angeles Clippers|81|Box Score||14,965|
Thu, Jan 3, 2008|8:00p|Portland Trail Blazers|115|Chicago Bulls|109|Box Score|2OT|21,756|
Thu, Jan 3, 2008|9:00p|San Antonio Spurs|77|Denver Nuggets|80|Box Score||19,155|
Thu, Jan 3, 2008|10:30p|Seattle SuperSonics|96|Phoenix Suns|104|Box Score||18,422|
Fri, Jan 4, 2008|7:00p|Atlanta Hawks|91|Indiana Pacers|113|Box Score||10,797|
Fri, Jan 4, 2008|7:00p|Houston Rockets|96|Orlando Magic|94|Box Score||17,519|
Fri, Jan 4, 2008|7:00p|Detroit Pistons|101|Toronto Raptors|85|Box Score||19,800|
Fri, Jan 4, 2008|7:30p|Memphis Grizzlies|96|Boston Celtics|100|Box Score||18,624|
Fri, Jan 4, 2008|7:30p|Sacramento Kings|93|Cleveland Cavaliers|97|Box Score||20,562|
Fri, Jan 4, 2008|7:30p|Charlotte Bobcats|96|New Jersey Nets|102|Box Score||15,276|
Fri, Jan 4, 2008|8:00p|Denver Nuggets|118|Minnesota Timberwolves|107|Box Score||13,536|
Fri, Jan 4, 2008|8:30p|Washington Wizards|101|Milwaukee Bucks|77|Box Score||16,250|
Fri, Jan 4, 2008|8:30p|New York Knicks|93|San Antonio Spurs|97|Box Score||18,797|
Fri, Jan 4, 2008|9:30p|Miami Heat|89|Dallas Mavericks|94|Box Score||20,357|
