date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Fri, Apr 1, 2016|7:00p|Philadelphia 76ers|91|Charlotte Hornets|100|Box Score||19,244|
Fri, Apr 1, 2016|7:30p|Dallas Mavericks|98|Detroit Pistons|89|Box Score||19,031|
Fri, Apr 1, 2016|7:30p|Brooklyn Nets|91|New York Knicks|105|Box Score||19,812|
Fri, Apr 1, 2016|8:00p|Cleveland Cavaliers|110|Atlanta Hawks|108|Box Score|OT|19,427|
Fri, Apr 1, 2016|8:00p|Toronto Raptors|99|Memphis Grizzlies|95|Box Score||17,077|
Fri, Apr 1, 2016|8:00p|Orlando Magic|110|Milwaukee Bucks|113|Box Score||16,268|
Fri, Apr 1, 2016|9:00p|Minnesota Timberwolves|85|Utah Jazz|98|Box Score||19,911|
Fri, Apr 1, 2016|10:00p|Miami Heat|112|Sacramento Kings|106|Box Score||17,317|
Fri, Apr 1, 2016|10:30p|Boston Celtics|109|Golden State Warriors|106|Box Score||19,596|
Fri, Apr 1, 2016|10:30p|Washington Wizards|106|Phoenix Suns|99|Box Score||17,345|
Sat, Apr 2, 2016|7:30p|Indiana Pacers|115|Philadelphia 76ers|102|Box Score||19,213|
Sat, Apr 2, 2016|8:00p|Detroit Pistons|94|Chicago Bulls|90|Box Score||22,197|
Sat, Apr 2, 2016|8:30p|Toronto Raptors|95|San Antonio Spurs|102|Box Score||18,418|
Sat, Apr 2, 2016|9:00p|Sacramento Kings|115|Denver Nuggets|106|Box Score||15,607|
Sat, Apr 2, 2016|10:00p|Miami Heat|93|Portland Trail Blazers|110|Box Score||19,633|
Sun, Apr 3, 2016|1:00p|New Orleans Pelicans|106|Brooklyn Nets|87|Box Score||16,329|
Sun, Apr 3, 2016|3:30p|Charlotte Hornets|103|Cleveland Cavaliers|112|Box Score||20,562|
Sun, Apr 3, 2016|3:30p|Oklahoma City Thunder|110|Houston Rockets|118|Box Score||18,462|
Sun, Apr 3, 2016|3:30p|Washington Wizards|109|Los Angeles Clippers|114|Box Score||19,060|
Sun, Apr 3, 2016|3:30p|Dallas Mavericks|88|Minnesota Timberwolves|78|Box Score||16,117|
Sun, Apr 3, 2016|6:00p|Memphis Grizzlies|107|Orlando Magic|119|Box Score||17,741|
Sun, Apr 3, 2016|6:00p|Utah Jazz|101|Phoenix Suns|86|Box Score||17,279|
Sun, Apr 3, 2016|7:00p|Chicago Bulls|102|Milwaukee Bucks|98|Box Score||15,768|
Sun, Apr 3, 2016|7:30p|Indiana Pacers|92|New York Knicks|87|Box Score||19,812|
