date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance
Fri, Apr 8, 2005|8:30p|Charlotte Bobcats|75|Milwaukee Bucks|93|Box Score|15,274|
Fri, Apr 8, 2005|9:30p|Denver Nuggets|107|Minnesota Timberwolves|104|Box Score|19,904|
Fri, Apr 8, 2005|10:00p|Sacramento Kings|119|Portland Trail Blazers|115|Box Score|17,539|
Fri, Apr 8, 2005|10:30p|Phoenix Suns|119|Golden State Warriors|127|Box Score|20,043|
Fri, Apr 8, 2005|10:30p|Los Angeles Lakers|117|Seattle SuperSonics|94|Box Score|17,072|
Sat, Apr 9, 2005|1:00p|Boston Celtics|86|New Jersey Nets|99|Box Score|15,103|
Sat, Apr 9, 2005|7:00p|Minnesota Timberwolves|98|Atlanta Hawks|105|Box Score|17,583|
Sat, Apr 9, 2005|7:00p|Philadelphia 76ers|112|Washington Wizards|106|Box Score|20,173|
Sat, Apr 9, 2005|7:30p|Milwaukee Bucks|81|Cleveland Cavaliers|98|Box Score|20,562|
Sat, Apr 9, 2005|8:30p|Toronto Raptors|97|Chicago Bulls|110|Box Score|22,281|
Sat, Apr 9, 2005|8:30p|Utah Jazz|81|Dallas Mavericks|88|Box Score|20,387|
Sat, Apr 9, 2005|9:00p|Seattle SuperSonics|105|Denver Nuggets|121|Box Score|19,751|
Sat, Apr 9, 2005|10:00p|Houston Rockets|98|Phoenix Suns|97|Box Score|18,422|
Sat, Apr 9, 2005|10:30p|San Antonio Spurs|125|Los Angeles Clippers|124|Box Score|2OT|19,748
Sun, Apr 10, 2005|1:00p|Detroit Pistons|80|Miami Heat|72|Box Score|20,218|
Sun, Apr 10, 2005|3:30p|New York Knicks|113|Indiana Pacers|112|Box Score|OT|18,345
Sun, Apr 10, 2005|3:30p|Los Angeles Lakers|105|Sacramento Kings|124|Box Score|17,317|
Sun, Apr 10, 2005|7:00p|Portland Trail Blazers|90|New Orleans Hornets|81|Box Score|16,022|
Sun, Apr 10, 2005|8:00p|Charlotte Bobcats|95|Memphis Grizzlies|102|Box Score|16,953|
Sun, Apr 10, 2005|9:00p|San Antonio Spurs|136|Golden State Warriors|134|Box Score|2OT|16,324
Mon, Apr 11, 2005|7:00p|Cleveland Cavaliers|114|Orlando Magic|106|Box Score|13,273|
Mon, Apr 11, 2005|7:00p|Indiana Pacers|94|Toronto Raptors|90|Box Score|15,104|
Mon, Apr 11, 2005|7:00p|Milwaukee Bucks|112|Washington Wizards|119|Box Score|14,205|
Mon, Apr 11, 2005|7:30p|Charlotte Bobcats|110|Atlanta Hawks|105|Box Score|OT|15,042
Mon, Apr 11, 2005|8:30p|Detroit Pistons|85|Chicago Bulls|84|Box Score|OT|22,233
Mon, Apr 11, 2005|8:30p|Memphis Grizzlies|89|Dallas Mavericks|110|Box Score|20,044|
Mon, Apr 11, 2005|9:00p|Golden State Warriors|106|Denver Nuggets|122|Box Score|18,045|
Mon, Apr 11, 2005|10:00p|Houston Rockets|90|Seattle SuperSonics|78|Box Score|17,072|
Mon, Apr 11, 2005|10:30p|Phoenix Suns|108|Los Angeles Lakers|97|Box Score|18,997|
Tue, Apr 12, 2005|7:00p|Boston Celtics|105|Philadelphia 76ers|98|Box Score|17,609|
Tue, Apr 12, 2005|7:30p|Toronto Raptors|105|New York Knicks|93|Box Score|18,907|
Tue, Apr 12, 2005|8:30p|Portland Trail Blazers|89|San Antonio Spurs|95|Box Score|18,797|
Tue, Apr 12, 2005|10:00p|New Orleans Hornets|85|Phoenix Suns|99|Box Score|17,616|
Tue, Apr 12, 2005|10:30p|Utah Jazz|85|Los Angeles Clippers|94|Box Score|18,697|
Wed, Apr 13, 2005|7:00p|Atlanta Hawks|84|Charlotte Bobcats|105|Box Score|10,894|
Wed, Apr 13, 2005|7:30p|Orlando Magic|94|Detroit Pistons|103|Box Score|22,076|
Wed, Apr 13, 2005|8:00p|New Jersey Nets|86|Indiana Pacers|90|Box Score|17,901|
Wed, Apr 13, 2005|8:00p|Boston Celtics|111|Milwaukee Bucks|108|Box Score|13,547|
