date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Tue, Feb 1, 2011|8:00p|Washington Wizards|89|New Orleans Hornets|97|Box Score||13,921|
Tue, Feb 1, 2011|10:00p|San Antonio Spurs|86|Portland Trail Blazers|99|Box Score||20,364|
Tue, Feb 1, 2011|10:00p|Boston Celtics|95|Sacramento Kings|90|Box Score||16,482|
Tue, Feb 1, 2011|10:30p|Houston Rockets|106|Los Angeles Lakers|114|Box Score|OT|18,997|
Wed, Feb 2, 2011|7:00p|Toronto Raptors|87|Atlanta Hawks|100|Box Score||14,025|
Wed, Feb 2, 2011|7:00p|Indiana Pacers|117|Cleveland Cavaliers|112|Box Score||18,877|
Wed, Feb 2, 2011|7:00p|Philadelphia 76ers|106|New Jersey Nets|92|Box Score||10,057|
Wed, Feb 2, 2011|7:30p|Charlotte Bobcats|97|Detroit Pistons|87|Box Score||14,376|
Wed, Feb 2, 2011|7:30p|Dallas Mavericks|113|New York Knicks|97|Box Score||19,763|
Wed, Feb 2, 2011|8:00p|Memphis Grizzlies|102|Minnesota Timberwolves|84|Box Score||12,662|
Wed, Feb 2, 2011|8:00p|New Orleans Hornets|93|Oklahoma City Thunder|104|Box Score||17,849|
Wed, Feb 2, 2011|9:00p|Portland Trail Blazers|90|Denver Nuggets|109|Box Score||15,258|
Wed, Feb 2, 2011|9:00p|Milwaukee Bucks|77|Phoenix Suns|92|Box Score||16,422|
Wed, Feb 2, 2011|9:00p|Houston Rockets|97|Utah Jazz|96|Box Score||19,619|
Wed, Feb 2, 2011|10:30p|Chicago Bulls|106|Los Angeles Clippers|88|Box Score||19,368|
Thu, Feb 3, 2011|8:00p|Miami Heat|104|Orlando Magic|100|Box Score||18,945|
Thu, Feb 3, 2011|10:30p|Milwaukee Bucks|94|Golden State Warriors|100|Box Score||18,008|
Thu, Feb 3, 2011|10:30p|San Antonio Spurs|89|Los Angeles Lakers|88|Box Score||18,997|
Fri, Feb 4, 2011|7:00p|Miami Heat|109|Charlotte Bobcats|97|Box Score||19,592|
Fri, Feb 4, 2011|7:00p|Portland Trail Blazers|87|Indiana Pacers|100|Box Score||11,778|
Fri, Feb 4, 2011|7:00p|New York Knicks|98|Philadelphia 76ers|100|Box Score||18,823|
Fri, Feb 4, 2011|7:00p|Minnesota Timberwolves|100|Toronto Raptors|111|Box Score||14,389|
Fri, Feb 4, 2011|7:00p|Orlando Magic|110|Washington Wizards|92|Box Score||18,940|
Fri, Feb 4, 2011|7:30p|Los Angeles Clippers|100|Atlanta Hawks|101|Box Score||19,363|
Fri, Feb 4, 2011|7:30p|New Jersey Nets|82|Detroit Pistons|92|Box Score||17,304|
