date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Tue, Oct 28, 2008|8:00p|Cleveland Cavaliers|85|Boston Celtics|90|Box Score||18,624|
Tue, Oct 28, 2008|8:30p|Milwaukee Bucks|95|Chicago Bulls|108|Box Score||21,762|
Tue, Oct 28, 2008|10:30p|Portland Trail Blazers|76|Los Angeles Lakers|96|Box Score||18,997|
Wed, Oct 29, 2008|6:00p|Toronto Raptors|95|Philadelphia 76ers|84|Box Score||15,750|
Wed, Oct 29, 2008|7:00p|New Jersey Nets|95|Washington Wizards|85|Box Score||20,173|
Wed, Oct 29, 2008|7:00p|Atlanta Hawks|99|Orlando Magic|85|Box Score||17,461|
Wed, Oct 29, 2008|7:30p|Miami Heat|115|New York Knicks|120|Box Score||19,763|
Wed, Oct 29, 2008|8:00p|Phoenix Suns|103|San Antonio Spurs|98|Box Score||18,797|
Wed, Oct 29, 2008|8:00p|Milwaukee Bucks|98|Oklahoma City Thunder|87|Box Score||19,136|
Wed, Oct 29, 2008|8:00p|Sacramento Kings|96|Minnesota Timberwolves|98|Box Score||17,820|
Wed, Oct 29, 2008|8:00p|Indiana Pacers|94|Detroit Pistons|100|Box Score||22,076|
Wed, Oct 29, 2008|8:30p|Memphis Grizzlies|71|Houston Rockets|82|Box Score||18,196|
Wed, Oct 29, 2008|9:00p|Denver Nuggets|94|Utah Jazz|98|Box Score||19,911|
Wed, Oct 29, 2008|10:30p|Los Angeles Lakers|117|Los Angeles Clippers|79|Box Score||19,060|
Wed, Oct 29, 2008|10:30p|New Orleans Hornets|108|Golden State Warriors|103|Box Score||19,128|
Thu, Oct 30, 2008|7:00p|Charlotte Bobcats|79|Cleveland Cavaliers|96|Box Score||20,562|
Thu, Oct 30, 2008|8:00p|Houston Rockets|112|Dallas Mavericks|102|Box Score||20,066|
Thu, Oct 30, 2008|10:30p|New Orleans Hornets|108|Phoenix Suns|95|Box Score||18,422|
Fri, Oct 31, 2008|7:00p|New York Knicks|87|Philadelphia 76ers|116|Box Score||11,717|
Fri, Oct 31, 2008|7:00p|Golden State Warriors|108|Toronto Raptors|112|Box Score|OT|19,800|
Fri, Oct 31, 2008|7:30p|Sacramento Kings|77|Miami Heat|103|Box Score||19,600|
Fri, Oct 31, 2008|8:00p|Chicago Bulls|80|Boston Celtics|96|Box Score||18,624|
Fri, Oct 31, 2008|8:00p|Orlando Magic|84|Memphis Grizzlies|86|Box Score||16,139|
Fri, Oct 31, 2008|10:30p|Denver Nuggets|113|Los Angeles Clippers|103|Box Score|OT|11,418|
Fri, Oct 31, 2008|10:30p|San Antonio Spurs|99|Portland Trail Blazers|100|Box Score||20,516|
