date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Tue, Mar 1, 2011|7:00p|Golden State Warriors|100|Indiana Pacers|109|Box Score||9,557|
Tue, Mar 1, 2011|7:00p|New York Knicks|110|Orlando Magic|116|Box Score||19,131|
Tue, Mar 1, 2011|7:00p|Dallas Mavericks|101|Philadelphia 76ers|93|Box Score||13,509|
Tue, Mar 1, 2011|7:00p|New Orleans Hornets|90|Toronto Raptors|96|Box Score||14,704|
Tue, Mar 1, 2011|8:00p|San Antonio Spurs|93|Memphis Grizzlies|109|Box Score||13,480|
Tue, Mar 1, 2011|8:00p|Detroit Pistons|90|Milwaukee Bucks|92|Box Score||11,364|
Tue, Mar 1, 2011|8:00p|Los Angeles Lakers|90|Minnesota Timberwolves|79|Box Score||17,111|
Tue, Mar 1, 2011|10:00p|Houston Rockets|103|Portland Trail Blazers|87|Box Score||20,272|
Wed, Mar 2, 2011|7:00p|Chicago Bulls|80|Atlanta Hawks|83|Box Score||16,928|
Wed, Mar 2, 2011|7:00p|San Antonio Spurs|109|Cleveland Cavaliers|99|Box Score||18,795|
Wed, Mar 2, 2011|7:00p|Golden State Warriors|106|Washington Wizards|102|Box Score||17,865|
Wed, Mar 2, 2011|7:30p|Phoenix Suns|103|Boston Celtics|115|Box Score||18,624|
Wed, Mar 2, 2011|7:30p|Minnesota Timberwolves|116|Detroit Pistons|105|Box Score||13,122|
Wed, Mar 2, 2011|7:30p|New Orleans Hornets|88|New York Knicks|107|Box Score||19,763|
Wed, Mar 2, 2011|8:00p|Indiana Pacers|89|Oklahoma City Thunder|113|Box Score||18,203|
Wed, Mar 2, 2011|9:00p|Charlotte Bobcats|80|Denver Nuggets|120|Box Score||14,255|
Wed, Mar 2, 2011|10:00p|Portland Trail Blazers|107|Sacramento Kings|102|Box Score||12,286|
Wed, Mar 2, 2011|10:30p|Houston Rockets|103|Los Angeles Clippers|106|Box Score||19,060|
Thu, Mar 3, 2011|8:00p|Orlando Magic|99|Miami Heat|96|Box Score||19,600|
Thu, Mar 3, 2011|10:30p|Denver Nuggets|103|Utah Jazz|101|Box Score||19,524|
Fri, Mar 4, 2011|3:00p|Toronto Raptors|103|New Jersey Nets|116|Box Score||18,689|at London, England
Fri, Mar 4, 2011|7:00p|Chicago Bulls|89|Orlando Magic|81|Box Score||19,207|
Fri, Mar 4, 2011|7:00p|Minnesota Timberwolves|100|Philadelphia 76ers|111|Box Score||12,008|
Fri, Mar 4, 2011|7:30p|Oklahoma City Thunder|111|Atlanta Hawks|104|Box Score||17,916|
Fri, Mar 4, 2011|7:30p|Golden State Warriors|103|Boston Celtics|107|Box Score||18,624|
Fri, Mar 4, 2011|7:30p|Cleveland Cavaliers|119|New York Knicks|115|Box Score||19,763|
Fri, Mar 4, 2011|8:00p|New Orleans Hornets|98|Memphis Grizzlies|91|Box Score||15,367|
Fri, Mar 4, 2011|8:30p|Indiana Pacers|108|Dallas Mavericks|116|Box Score||20,385|
Fri, Mar 4, 2011|8:30p|Phoenix Suns|102|Milwaukee Bucks|88|Box Score||15,011|
Fri, Mar 4, 2011|9:30p|Miami Heat|95|San Antonio Spurs|125|Box Score||18,581|
Fri, Mar 4, 2011|10:30p|Charlotte Bobcats|84|Los Angeles Lakers|92|Box Score||18,997|
Sat, Mar 5, 2011|3:00p|Toronto Raptors|136|New Jersey Nets|137|Box Score|3OT|18,689|at London, England
Sat, Mar 5, 2011|7:00p|Minnesota Timberwolves|96|Washington Wizards|103|Box Score||18,216|
Sat, Mar 5, 2011|8:30p|Indiana Pacers|95|Houston Rockets|112|Box Score||14,965|
Sat, Mar 5, 2011|9:00p|Sacramento Kings|102|Utah Jazz|109|Box Score|OT|19,911|
Sat, Mar 5, 2011|10:00p|Charlotte Bobcats|69|Portland Trail Blazers|93|Box Score||20,588|
Sat, Mar 5, 2011|10:30p|Denver Nuggets|94|Los Angeles Clippers|100|Box Score||19,060|
Sun, Mar 6, 2011|1:00p|Chicago Bulls|87|Miami Heat|86|Box Score||19,763|
Sun, Mar 6, 2011|3:30p|Los Angeles Lakers|99|San Antonio Spurs|83|Box Score||18,996|
Sun, Mar 6, 2011|6:00p|Washington Wizards|102|Detroit Pistons|113|Box Score||17,506|
Sun, Mar 6, 2011|6:00p|Golden State Warriors|117|Philadelphia 76ers|125|Box Score|OT|11,294|
Sun, Mar 6, 2011|6:30p|New York Knicks|92|Atlanta Hawks|79|Box Score||19,560|
