date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Mon, Apr 1, 2013|7:00p|Detroit Pistons|108|Toronto Raptors|98|Box Score||17,115|
Mon, Apr 1, 2013|7:30p|Cleveland Cavaliers|94|Atlanta Hawks|102|Box Score||13,026|
Mon, Apr 1, 2013|8:00p|Orlando Magic|103|Houston Rockets|111|Box Score||16,273|
Mon, Apr 1, 2013|8:00p|San Antonio Spurs|90|Memphis Grizzlies|92|Box Score||16,642|
Mon, Apr 1, 2013|8:00p|Charlotte Bobcats|102|Milwaukee Bucks|131|Box Score||15,315|
Mon, Apr 1, 2013|8:00p|Boston Celtics|100|Minnesota Timberwolves|110|Box Score||14,546|
Mon, Apr 1, 2013|9:00p|Portland Trail Blazers|102|Utah Jazz|112|Box Score||18,336|
Mon, Apr 1, 2013|10:30p|Indiana Pacers|109|Los Angeles Clippers|106|Box Score||19,384|
Tue, Apr 2, 2013|7:00p|Chicago Bulls|86|Washington Wizards|90|Box Score||17,319|
Tue, Apr 2, 2013|8:00p|New York Knicks|102|Miami Heat|90|Box Score||20,300|
Tue, Apr 2, 2013|10:30p|Dallas Mavericks|81|Los Angeles Lakers|101|Box Score||18,997|
Wed, Apr 3, 2013|7:00p|New York Knicks|95|Atlanta Hawks|82|Box Score||17,404|
Wed, Apr 3, 2013|7:00p|Philadelphia 76ers|83|Charlotte Bobcats|88|Box Score||13,097|
Wed, Apr 3, 2013|7:00p|Brooklyn Nets|113|Cleveland Cavaliers|95|Box Score||14,863|
Wed, Apr 3, 2013|7:00p|Washington Wizards|78|Toronto Raptors|88|Box Score||15,783|
Wed, Apr 3, 2013|7:30p|Detroit Pistons|93|Boston Celtics|98|Box Score||18,624|
Wed, Apr 3, 2013|8:00p|Minnesota Timberwolves|107|Milwaukee Bucks|98|Box Score||15,386|
Wed, Apr 3, 2013|8:30p|Orlando Magic|84|San Antonio Spurs|98|Box Score||18,581|
Wed, Apr 3, 2013|9:00p|Denver Nuggets|113|Utah Jazz|96|Box Score||17,654|
Wed, Apr 3, 2013|10:00p|Memphis Grizzlies|94|Portland Trail Blazers|76|Box Score||19,275|
Wed, Apr 3, 2013|10:00p|Houston Rockets|112|Sacramento Kings|102|Box Score||12,377|
Wed, Apr 3, 2013|10:30p|New Orleans Hornets|88|Golden State Warriors|98|Box Score||19,596|
Wed, Apr 3, 2013|10:30p|Phoenix Suns|101|Los Angeles Clippers|126|Box Score||19,137|
Thu, Apr 4, 2013|7:00p|Chicago Bulls|92|Brooklyn Nets|90|Box Score||17,732|
Thu, Apr 4, 2013|9:00p|Dallas Mavericks|94|Denver Nuggets|95|Box Score||19,155|
Thu, Apr 4, 2013|9:30p|San Antonio Spurs|88|Oklahoma City Thunder|100|Box Score||18,203|
Fri, Apr 5, 2013|7:30p|Philadelphia 76ers|101|Atlanta Hawks|90|Box Score||17,020|
