date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Mon, Mar 1, 2010|7:00p|Dallas Mavericks|89|Charlotte Bobcats|84|Box Score||15,691|
Mon, Mar 1, 2010|7:00p|New York Knicks|93|Cleveland Cavaliers|124|Box Score||20,562|
Mon, Mar 1, 2010|7:00p|Orlando Magic|126|Philadelphia 76ers|105|Box Score||15,817|
Mon, Mar 1, 2010|8:00p|Atlanta Hawks|116|Chicago Bulls|92|Box Score||19,011|
Mon, Mar 1, 2010|8:00p|Portland Trail Blazers|103|Memphis Grizzlies|93|Box Score||11,123|
Mon, Mar 1, 2010|8:00p|San Antonio Spurs|106|New Orleans Hornets|92|Box Score||13,655|
Mon, Mar 1, 2010|8:30p|Toronto Raptors|92|Houston Rockets|116|Box Score||13,943|
Mon, Mar 1, 2010|9:00p|Denver Nuggets|85|Phoenix Suns|101|Box Score||18,159|
Mon, Mar 1, 2010|10:30p|Utah Jazz|104|Los Angeles Clippers|108|Box Score||15,422|
Tue, Mar 2, 2010|7:30p|Boston Celtics|105|Detroit Pistons|100|Box Score||17,956|
Tue, Mar 2, 2010|7:30p|Golden State Warriors|106|Miami Heat|110|Box Score||15,213|
Tue, Mar 2, 2010|8:00p|Sacramento Kings|107|Oklahoma City Thunder|113|Box Score||17,677|
Tue, Mar 2, 2010|10:30p|Indiana Pacers|99|Los Angeles Lakers|122|Box Score||18,997|
Wed, Mar 3, 2010|7:00p|Philadelphia 76ers|93|Atlanta Hawks|112|Box Score||15,408|
Wed, Mar 3, 2010|7:00p|Golden State Warriors|90|Orlando Magic|117|Box Score||17,461|
Wed, Mar 3, 2010|7:30p|Charlotte Bobcats|80|Boston Celtics|104|Box Score||18,624|
Wed, Mar 3, 2010|7:30p|Cleveland Cavaliers|111|New Jersey Nets|92|Box Score||17,502|
Wed, Mar 3, 2010|7:30p|Detroit Pistons|104|New York Knicks|128|Box Score||19,341|
Wed, Mar 3, 2010|8:00p|Washington Wizards|87|Milwaukee Bucks|100|Box Score||13,247|
Wed, Mar 3, 2010|8:00p|Memphis Grizzlies|104|New Orleans Hornets|100|Box Score||14,347|
Wed, Mar 3, 2010|8:30p|Minnesota Timberwolves|109|Dallas Mavericks|112|Box Score||19,511|
Wed, Mar 3, 2010|8:30p|Sacramento Kings|84|Houston Rockets|81|Box Score||15,651|
