date|team|avg_price
2013-14|New York Knicks|"
                            129.38"
2013-14|Los Angeles Lakers|"
                            102.25"
2013-14|Miami Heat|"
                            78.3"
2013-14|Chicago Bulls|"
                            77.65"
2013-14|Boston Celtics|"
                            72.64"
2013-14|Los Angeles Clippers|"
                            65.55"
2013-14|Brooklyn Nets|"
                            60.5"
2013-14|San Antonio Spurs|"
                            57.25"
2013-14|Phoenix Suns|"
                            57.23"
2013-14|Houston Rockets|"
                            57.15"
2013-14|Denver Nuggets|"
                            53.15"
2013-14|Dallas Mavericks|"
                            51.8"
2013-14|Oklahoma City Thunder|"
                            51.35"
2013-14|Portland Trail Blazers|"
                            51.3"
2013-14|Toronto Raptors|"
                            48.7"
2013-14|Milwaukee Bucks|"
                            47.7"
2013-14|Utah Jazz|"
                            44.5"
2013-14|Golden State Warriors|"
                            44.27"
2013-14|Sacramento Kings|"
                            43.32"
2013-14|Cleveland Cavaliers|"
                            43.31"
2013-14|Detroit Pistons|"
                            40.1"
2013-14|Orlando Magic|"
                            39.4"
2013-14|Philadelphia 76ers|"
                            39.25"
2013-14|Minnesota Timberwolves|"
                            35.5"
2013-14|Atlanta Hawks|"
                            35.26"
2013-14|Indiana Pacers|"
                            31.62"
2013-14|Washington Wizards|"
                            30.31"
2013-14|Memphis Grizzlies|"
                            30.04"
2013-14|Charlotte Bobcats|"
                            29.27"
2013-14|New Orleans Pelicans|"
                            26.87"
