date|team|rank|state|payroll|payroll_adjusted
cleveland_cavaliers|2016-2017|"
								1.
							"|"

									Cleveland								
"|"
									$128,522,489								"|"
									$136,587,864								"
portland_trail_blazers|2016-2017|"
								2.
							"|"

									Portland								
"|"
									$119,732,234								"|"
									$127,245,980								"
los_angeles_clippers|2016-2017|"
								3.
							"|"

									LA Clippers								
"|"
									$114,756,766								"|"
									$121,958,281								"
san_antonio_spurs|2016-2017|"
								4.
							"|"

									San Antonio								
"|"
									$112,017,779								"|"
									$119,047,406								"
memphis_grizzlies|2016-2017|"
								5.
							"|"

									Memphis								
"|"
									$110,083,520								"|"
									$116,991,763								"
toronto_raptors|2016-2017|"
								6.
							"|"

									Toronto								
"|"
									$108,599,970								"|"
									$115,415,114								"
detroit_pistons|2016-2017|"
								7.
							"|"

									Detroit								
"|"
									$106,492,988								"|"
									$113,175,909								"
orlando_magic|2016-2017|"
								8.
							"|"

									Orlando								
"|"
									$104,096,951								"|"
									$110,629,512								"
washington_wizards|2016-2017|"
								9.
							"|"

									Washington								
"|"
									$104,016,580								"|"
									$110,544,093								"
charlotte_hornets|2016-2017|"
								10.
							"|"

									Charlotte								
"|"
									$103,054,004								"|"
									$109,521,112								"
new_york_knicks|2016-2017|"
								11.
							"|"

									New York								
"|"
									$102,593,418								"|"
									$109,031,624								"
dallas_mavericks|2016-2017|"
								12.
							"|"

									Dallas								
"|"
									$102,354,966								"|"
									$108,778,205								"
new_orleans_pelicans|2016-2017|"
								13.
							"|"

									New Orleans								
"|"
									$101,616,451								"|"
									$107,993,343								"
golden_state_warriors|2016-2017|"
								14.
							"|"

									Golden State								
"|"
									$101,584,835								"|"
									$107,959,743								"
miami_heat|2016-2017|"
								15.
							"|"

									Miami								
"|"
									$100,740,770								"|"
									$107,062,710								"
atlanta_hawks|2016-2017|"
								16.
							"|"

									Atlanta								
"|"
									$96,315,163								"|"
									$102,359,377								"
milwaukee_bucks|2016-2017|"
								17.
							"|"

									Milwaukee								
"|"
									$96,245,877								"|"
									$102,285,744								"
sacramento_kings|2016-2017|"
								18.
							"|"

									Sacramento								
"|"
									$95,596,327								"|"
									$101,595,433								"
los_angeles_lakers|2016-2017|"
								19.
							"|"

									LA Lakers								
"|"
									$94,781,848								"|"
									$100,729,840								"
boston_celtics|2016-2017|"
								20.
							"|"

									Boston								
"|"
									$93,465,326								"|"
									$99,330,698								"
chicago_bulls|2016-2017|"
								21.
							"|"

									Chicago								
"|"
									$92,522,306								"|"
									$98,328,502								"
oklahoma_city_thunder|2016-2017|"
								22.
							"|"

									Oklahoma City								
"|"
									$91,230,089								"|"
									$96,955,191								"
houston_rockets|2016-2017|"
								23.
							"|"

									Houston								
"|"
									$90,956,067								"|"
									$96,663,975								"
indiana_pacers|2016-2017|"
								24.
							"|"

									Indiana								
"|"
									$90,279,072								"|"
									$95,944,493								"
phoenix_suns|2016-2017|"
								25.
							"|"

									Phoenix								
"|"
									$89,754,590								"|"
									$95,387,098								"
philadelphia_76ers|2016-2017|"
								26.
							"|"

									Philadelphia								
"|"
									$84,775,343								"|"
									$90,095,374								"
denver_nuggets|2016-2017|"
								27.
							"|"

									Denver								
"|"
									$83,836,460								"|"
									$89,097,579								"
minnesota_timberwolves|2016-2017|"
								28.
							"|"

									Minnesota								
"|"
									$83,527,580								"|"
									$88,769,315								"
brooklyn_nets|2016-2017|"
								29.
							"|"

									Brooklyn								
"|"
									$82,391,482								"|"
									$87,561,919								"
utah_jazz|2016-2017|"
								30.
							"|"

									Utah								
"|"
									$80,138,192								"|"
									$85,167,228								"
