date|team|rank|state|payroll|payroll_adjusted
cleveland_cavaliers|2017-2018|"
								1.
							"|"

									Cleveland								
"|"
									$137,722,926								"|"
									$144,013,233								"
golden_state_warriors|2017-2018|"
								2.
							"|"

									Golden State								
"|"
									$137,610,134								"|"
									$143,895,289								"
oklahoma_city_thunder|2017-2018|"
								3.
							"|"

									Oklahoma City								
"|"
									$134,534,640								"|"
									$140,679,326								"
miami_heat|2017-2018|"
								4.
							"|"

									Miami								
"|"
									$133,624,374								"|"
									$139,727,484								"
washington_wizards|2017-2018|"
								5.
							"|"

									Washington								
"|"
									$123,306,396								"|"
									$128,938,245								"
new_orleans_pelicans|2017-2018|"
								6.
							"|"

									New Orleans								
"|"
									$120,814,452								"|"
									$126,332,484								"
milwaukee_bucks|2017-2018|"
								7.
							"|"

									Milwaukee								
"|"
									$120,521,249								"|"
									$126,025,887								"
houston_rockets|2017-2018|"
								8.
							"|"

									Houston								
"|"
									$119,905,532								"|"
									$125,382,049								"
detroit_pistons|2017-2018|"
								9.
							"|"

									Detroit								
"|"
									$119,773,191								"|"
									$125,243,666								"
los_angeles_clippers|2017-2018|"
								10.
							"|"

									LA Clippers								
"|"
									$119,093,010								"|"
									$124,532,419								"
portland_trail_blazers|2017-2018|"
								11.
							"|"

									Portland								
"|"
									$118,708,146								"|"
									$124,129,975								"
charlotte_hornets|2017-2018|"
								12.
							"|"

									Charlotte								
"|"
									$117,382,664								"|"
									$122,743,957								"
toronto_raptors|2017-2018|"
								13.
							"|"

									Toronto								
"|"
									$116,929,373								"|"
									$122,269,961								"
minnesota_timberwolves|2017-2018|"
								14.
							"|"

									Minnesota								
"|"
									$116,075,131								"|"
									$121,376,702								"
boston_celtics|2017-2018|"
								15.
							"|"

									Boston								
"|"
									$115,284,776								"|"
									$120,550,249								"
san_antonio_spurs|2017-2018|"
								16.
							"|"

									San Antonio								
"|"
									$114,633,844								"|"
									$119,869,587								"
memphis_grizzlies|2017-2018|"
								17.
							"|"

									Memphis								
"|"
									$110,700,149								"|"
									$115,756,221								"
denver_nuggets|2017-2018|"
								18.
							"|"

									Denver								
"|"
									$107,543,599								"|"
									$112,455,503								"
utah_jazz|2017-2018|"
								19.
							"|"

									Utah								
"|"
									$105,606,838								"|"
									$110,430,283								"
new_york_knicks|2017-2018|"
								20.
							"|"

									New York								
"|"
									$105,403,130								"|"
									$110,217,272								"
los_angeles_lakers|2017-2018|"
								21.
							"|"

									LA Lakers								
"|"
									$103,126,557								"|"
									$107,836,717								"
philadelphia_76ers|2017-2018|"
								22.
							"|"

									Philadelphia								
"|"
									$100,797,386								"|"
									$105,401,164								"
atlanta_hawks|2017-2018|"
								23.
							"|"

									Atlanta								
"|"
									$99,992,696								"|"
									$104,559,718								"
sacramento_kings|2017-2018|"
								24.
							"|"

									Sacramento								
"|"
									$99,587,185								"|"
									$104,135,688								"
orlando_magic|2017-2018|"
								25.
							"|"

									Orlando								
"|"
									$99,366,925								"|"
									$103,905,370								"
brooklyn_nets|2017-2018|"
								26.
							"|"

									Brooklyn								
"|"
									$95,475,397								"|"
									$99,836,100								"
indiana_pacers|2017-2018|"
								27.
							"|"

									Indiana								
"|"
									$95,271,736								"|"
									$99,623,136								"
phoenix_suns|2017-2018|"
								28.
							"|"

									Phoenix								
"|"
									$92,684,083								"|"
									$96,917,295								"
chicago_bulls|2017-2018|"
								29.
							"|"

									Chicago								
"|"
									$90,466,801								"|"
									$94,598,740								"
dallas_mavericks|2017-2018|"
								30.
							"|"

									Dallas								
"|"
									$85,440,245								"|"
									$89,342,606								"
