date|team|rank|state|payroll|payroll_adjusted
new_york_knicks|2005-2006|"
								1.
							"|"

									New York								
"|"
									$126,631,098								"|"
									$166,764,356								"
dallas_mavericks|2005-2006|"
								2.
							"|"

									Dallas								
"|"
									$98,454,832								"|"
									$129,658,168								"
philadelphia_76ers|2005-2006|"
								3.
							"|"

									Philadelphia								
"|"
									$84,807,300								"|"
									$111,685,317								"
indiana_pacers|2005-2006|"
								4.
							"|"

									Indiana								
"|"
									$78,791,779								"|"
									$103,763,296								"
orlando_magic|2005-2006|"
								5.
							"|"

									Orlando								
"|"
									$75,784,782								"|"
									$99,803,288								"
los_angeles_lakers|2005-2006|"
								6.
							"|"

									LA Lakers								
"|"
									$72,917,945								"|"
									$96,027,863								"
houston_rockets|2005-2006|"
								7.
							"|"

									Houston								
"|"
									$69,257,404								"|"
									$91,207,183								"
memphis_grizzlies|2005-2006|"
								8.
							"|"

									Memphis								
"|"
									$67,525,538								"|"
									$88,926,436								"
brooklyn_nets|2005-2006|"
								9.
							"|"

									Brooklyn								
"|"
									$66,449,350								"|"
									$87,509,175								"
san_antonio_spurs|2005-2006|"
								10.
							"|"

									San Antonio								
"|"
									$63,570,274								"|"
									$83,717,630								"
milwaukee_bucks|2005-2006|"
								11.
							"|"

									Milwaukee								
"|"
									$63,022,514								"|"
									$82,996,268								"
sacramento_kings|2005-2006|"
								12.
							"|"

									Sacramento								
"|"
									$62,811,975								"|"
									$82,719,004								"
toronto_raptors|2005-2006|"
								13.
							"|"

									Toronto								
"|"
									$62,411,884								"|"
									$82,192,110								"
minnesota_timberwolves|2005-2006|"
								14.
							"|"

									Minnesota								
"|"
									$61,830,186								"|"
									$81,426,054								"
miami_heat|2005-2006|"
								15.
							"|"

									Miami								
"|"
									$60,732,452								"|"
									$79,980,414								"
portland_trail_blazers|2005-2006|"
								16.
							"|"

									Portland								
"|"
									$60,017,964								"|"
									$79,039,485								"
detroit_pistons|2005-2006|"
								17.
							"|"

									Detroit								
"|"
									$59,619,275								"|"
									$78,514,440								"
utah_jazz|2005-2006|"
								18.
							"|"

									Utah								
"|"
									$57,372,902								"|"
									$75,556,121								"
chicago_bulls|2005-2006|"
								19.
							"|"

									Chicago								
"|"
									$57,166,530								"|"
									$75,284,344								"
golden_state_warriors|2005-2006|"
								20.
							"|"

									Golden State								
"|"
									$57,114,566								"|"
									$75,215,911								"
boston_celtics|2005-2006|"
								21.
							"|"

									Boston								
"|"
									$56,907,300								"|"
									$74,942,956								"
denver_nuggets|2005-2006|"
								22.
							"|"

									Denver								
"|"
									$56,492,172								"|"
									$74,396,263								"
washington_wizards|2005-2006|"
								23.
							"|"

									Washington								
"|"
									$54,555,947								"|"
									$71,846,387								"
phoenix_suns|2005-2006|"
								24.
							"|"

									Phoenix								
"|"
									$53,626,924								"|"
									$70,622,928								"
los_angeles_clippers|2005-2006|"
								25.
							"|"

									LA Clippers								
"|"
									$51,358,645								"|"
									$67,635,762								"
cleveland_cavaliers|2005-2006|"
								26.
							"|"

									Cleveland								
"|"
									$51,303,962								"|"
									$67,563,749								"
oklahoma_city_thunder|2005-2006|"
								27.
							"|"

									Oklahoma City								
"|"
									$49,253,379								"|"
									$64,863,275								"
atlanta_hawks|2005-2006|"
								28.
							"|"

									Atlanta								
"|"
									$42,944,553								"|"
									$56,554,988								"
new_orleans_pelicans|2005-2006|"
								29.
							"|"

									New Orleans								
"|"
									$41,277,617								"|"
									$54,359,748								"
charlotte_hornets|2005-2006|"
								30.
							"|"

									Charlotte								
"|"
									$33,458,932								"|"
									$44,063,082								"
