date|team|rank|state|payroll|payroll_adjusted
new_york_knicks|2001-2002|"
								1.
							"|"

									New York								
"|"
									$85,993,039								"|"
									$123,744,458								"
portland_trail_blazers|2001-2002|"
								2.
							"|"

									Portland								
"|"
									$84,292,850								"|"
									$121,297,878								"
brooklyn_nets|2001-2002|"
								3.
							"|"

									Brooklyn								
"|"
									$75,193,712								"|"
									$108,204,163								"
philadelphia_76ers|2001-2002|"
								4.
							"|"

									Philadelphia								
"|"
									$58,073,366								"|"
									$83,567,893								"
dallas_mavericks|2001-2002|"
								5.
							"|"

									Dallas								
"|"
									$57,960,080								"|"
									$83,404,872								"
phoenix_suns|2001-2002|"
								6.
							"|"

									Phoenix								
"|"
									$56,596,369								"|"
									$81,442,484								"
milwaukee_bucks|2001-2002|"
								7.
							"|"

									Milwaukee								
"|"
									$56,224,266								"|"
									$80,907,026								"
minnesota_timberwolves|2001-2002|"
								8.
							"|"

									Minnesota								
"|"
									$55,093,782								"|"
									$79,280,255								"
sacramento_kings|2001-2002|"
								9.
							"|"

									Sacramento								
"|"
									$54,921,012								"|"
									$79,031,637								"
washington_wizards|2001-2002|"
								10.
							"|"

									Washington								
"|"
									$54,776,087								"|"
									$78,823,087								"
denver_nuggets|2001-2002|"
								11.
							"|"

									Denver								
"|"
									$54,460,475								"|"
									$78,368,919								"
los_angeles_lakers|2001-2002|"
								12.
							"|"

									LA Lakers								
"|"
									$54,262,017								"|"
									$78,083,338								"
indiana_pacers|2001-2002|"
								13.
							"|"

									Indiana								
"|"
									$53,398,621								"|"
									$76,840,908								"
miami_heat|2001-2002|"
								14.
							"|"

									Miami								
"|"
									$53,351,186								"|"
									$76,772,649								"
toronto_raptors|2001-2002|"
								15.
							"|"

									Toronto								
"|"
									$52,657,161								"|"
									$75,773,944								"
utah_jazz|2001-2002|"
								16.
							"|"

									Utah								
"|"
									$52,642,362								"|"
									$75,752,647								"
atlanta_hawks|2001-2002|"
								17.
							"|"

									Atlanta								
"|"
									$51,525,207								"|"
									$74,145,056								"
memphis_grizzlies|2001-2002|"
								18.
							"|"

									Memphis								
"|"
									$50,920,631								"|"
									$73,275,067								"
charlotte_hornets|2001-2002|"
								19.
							"|"

									Charlotte								
"|"
									$49,999,445								"|"
									$71,949,475								"
houston_rockets|2001-2002|"
								20.
							"|"

									Houston								
"|"
									$49,168,169								"|"
									$70,753,263								"
golden_state_warriors|2001-2002|"
								21.
							"|"

									Golden State								
"|"
									$47,681,152								"|"
									$68,613,438								"
boston_celtics|2001-2002|"
								22.
							"|"

									Boston								
"|"
									$47,515,677								"|"
									$68,375,317								"
orlando_magic|2001-2002|"
								23.
							"|"

									Orlando								
"|"
									$45,984,001								"|"
									$66,171,230								"
san_antonio_spurs|2001-2002|"
								24.
							"|"

									San Antonio								
"|"
									$45,844,814								"|"
									$65,970,937								"
cleveland_cavaliers|2001-2002|"
								25.
							"|"

									Cleveland								
"|"
									$45,649,974								"|"
									$65,690,565								"
oklahoma_city_thunder|2001-2002|"
								26.
							"|"

									Oklahoma City								
"|"
									$45,556,733								"|"
									$65,556,387								"
chicago_bulls|2001-2002|"
								27.
							"|"

									Chicago								
"|"
									$42,592,857								"|"
									$61,291,350								"
detroit_pistons|2001-2002|"
								28.
							"|"

									Detroit								
"|"
									$42,417,677								"|"
									$61,039,267								"
los_angeles_clippers|2001-2002|"
								29.
							"|"

									LA Clippers								
"|"
									$33,849,932								"|"
									$48,710,233								"
