date|team|rank|state|payroll|payroll_adjusted
los_angeles_lakers|2011-2012|"
								1.
							"|"

									LA Lakers								
"|"
									$88,264,478								"|"
									$100,160,046								"
orlando_magic|2011-2012|"
								2.
							"|"

									Orlando								
"|"
									$87,955,505								"|"
									$99,809,433								"
portland_trail_blazers|2011-2012|"
								3.
							"|"

									Portland								
"|"
									$80,920,717								"|"
									$91,826,552								"
phoenix_suns|2011-2012|"
								4.
							"|"

									Phoenix								
"|"
									$80,640,576								"|"
									$91,508,654								"
boston_celtics|2011-2012|"
								5.
							"|"

									Boston								
"|"
									$79,820,530								"|"
									$90,578,092								"
dallas_mavericks|2011-2012|"
								6.
							"|"

									Dallas								
"|"
									$77,180,233								"|"
									$87,581,958								"
new_york_knicks|2011-2012|"
								7.
							"|"

									New York								
"|"
									$77,093,212								"|"
									$87,483,210								"
miami_heat|2011-2012|"
								8.
							"|"

									Miami								
"|"
									$75,469,639								"|"
									$85,640,823								"
san_antonio_spurs|2011-2012|"
								9.
							"|"

									San Antonio								
"|"
									$73,732,762								"|"
									$83,669,865								"
atlanta_hawks|2011-2012|"
								10.
							"|"

									Atlanta								
"|"
									$73,669,912								"|"
									$83,598,545								"
detroit_pistons|2011-2012|"
								11.
							"|"

									Detroit								
"|"
									$70,923,605								"|"
									$80,482,110								"
memphis_grizzlies|2011-2012|"
								12.
							"|"

									Memphis								
"|"
									$70,628,007								"|"
									$80,146,672								"
chicago_bulls|2011-2012|"
								13.
							"|"

									Chicago								
"|"
									$69,548,447								"|"
									$78,921,621								"
los_angeles_clippers|2011-2012|"
								14.
							"|"

									LA Clippers								
"|"
									$67,333,389								"|"
									$76,408,033								"
philadelphia_76ers|2011-2012|"
								15.
							"|"

									Philadelphia								
"|"
									$66,672,368								"|"
									$75,657,929								"
new_orleans_pelicans|2011-2012|"
								16.
							"|"

									New Orleans								
"|"
									$65,441,008								"|"
									$74,260,613								"
brooklyn_nets|2011-2012|"
								17.
							"|"

									Brooklyn								
"|"
									$65,281,235								"|"
									$74,079,304								"
cleveland_cavaliers|2011-2012|"
								18.
							"|"

									Cleveland								
"|"
									$64,875,599								"|"
									$73,619,002								"
golden_state_warriors|2011-2012|"
								19.
							"|"

									Golden State								
"|"
									$61,576,901								"|"
									$69,875,734								"
milwaukee_bucks|2011-2012|"
								20.
							"|"

									Milwaukee								
"|"
									$60,192,388								"|"
									$68,304,625								"
oklahoma_city_thunder|2011-2012|"
								21.
							"|"

									Oklahoma City								
"|"
									$59,501,709								"|"
									$67,520,863								"
denver_nuggets|2011-2012|"
								22.
							"|"

									Denver								
"|"
									$58,553,173								"|"
									$66,444,493								"
utah_jazz|2011-2012|"
								23.
							"|"

									Utah								
"|"
									$58,178,016								"|"
									$66,018,776								"
charlotte_hornets|2011-2012|"
								24.
							"|"

									Charlotte								
"|"
									$57,902,024								"|"
									$65,705,585								"
houston_rockets|2011-2012|"
								25.
							"|"

									Houston								
"|"
									$57,021,755								"|"
									$64,706,681								"
minnesota_timberwolves|2011-2012|"
								26.
							"|"

									Minnesota								
"|"
									$56,844,339								"|"
									$64,505,355								"
washington_wizards|2011-2012|"
								27.
							"|"

									Washington								
"|"
									$55,386,345								"|"
									$62,850,863								"
toronto_raptors|2011-2012|"
								28.
							"|"

									Toronto								
"|"
									$55,063,049								"|"
									$62,483,997								"
indiana_pacers|2011-2012|"
								29.
							"|"

									Indiana								
"|"
									$51,554,083								"|"
									$58,502,121								"
sacramento_kings|2011-2012|"
								30.
							"|"

									Sacramento								
"|"
									$48,950,236								"|"
									$55,547,347								"
