date|team|rank|state|payroll|payroll_adjusted
los_angeles_lakers|2009-2010|"
								1.
							"|"

									LA Lakers								
"|"
									$91,378,064								"|"
									$108,514,646								"
dallas_mavericks|2009-2010|"
								2.
							"|"

									Dallas								
"|"
									$88,916,075								"|"
									$105,590,950								"
new_york_knicks|2009-2010|"
								3.
							"|"

									New York								
"|"
									$85,710,076								"|"
									$101,783,713								"
boston_celtics|2009-2010|"
								4.
							"|"

									Boston								
"|"
									$83,552,174								"|"
									$99,221,130								"
cleveland_cavaliers|2009-2010|"
								5.
							"|"

									Cleveland								
"|"
									$83,398,534								"|"
									$99,038,674								"
orlando_magic|2009-2010|"
								6.
							"|"

									Orlando								
"|"
									$82,200,916								"|"
									$97,616,464								"
san_antonio_spurs|2009-2010|"
								7.
							"|"

									San Antonio								
"|"
									$79,338,309								"|"
									$94,217,014								"
denver_nuggets|2009-2010|"
								8.
							"|"

									Denver								
"|"
									$74,935,538								"|"
									$88,988,573								"
miami_heat|2009-2010|"
								9.
							"|"

									Miami								
"|"
									$74,208,013								"|"
									$88,124,608								"
washington_wizards|2009-2010|"
								10.
							"|"

									Washington								
"|"
									$73,440,274								"|"
									$87,212,893								"
utah_jazz|2009-2010|"
								11.
							"|"

									Utah								
"|"
									$71,905,244								"|"
									$85,389,991								"
new_orleans_pelicans|2009-2010|"
								12.
							"|"

									New Orleans								
"|"
									$70,163,827								"|"
									$83,321,997								"
chicago_bulls|2009-2010|"
								13.
							"|"

									Chicago								
"|"
									$69,700,359								"|"
									$82,771,612								"
houston_rockets|2009-2010|"
								14.
							"|"

									Houston								
"|"
									$69,095,315								"|"
									$82,053,099								"
charlotte_hornets|2009-2010|"
								15.
							"|"

									Charlotte								
"|"
									$68,681,758								"|"
									$81,561,990								"
toronto_raptors|2009-2010|"
								16.
							"|"

									Toronto								
"|"
									$67,822,433								"|"
									$80,541,508								"
sacramento_kings|2009-2010|"
								17.
							"|"

									Sacramento								
"|"
									$67,515,718								"|"
									$80,177,273								"
milwaukee_bucks|2009-2010|"
								18.
							"|"

									Milwaukee								
"|"
									$66,775,602								"|"
									$79,298,360								"
indiana_pacers|2009-2010|"
								19.
							"|"

									Indiana								
"|"
									$66,733,257								"|"
									$79,248,074								"
atlanta_hawks|2009-2010|"
								20.
							"|"

									Atlanta								
"|"
									$65,883,642								"|"
									$78,239,128								"
golden_state_warriors|2009-2010|"
								21.
							"|"

									Golden State								
"|"
									$65,352,372								"|"
									$77,608,224								"
phoenix_suns|2009-2010|"
								22.
							"|"

									Phoenix								
"|"
									$65,288,544								"|"
									$77,532,428								"
philadelphia_76ers|2009-2010|"
								23.
							"|"

									Philadelphia								
"|"
									$64,883,448								"|"
									$77,051,362								"
minnesota_timberwolves|2009-2010|"
								24.
							"|"

									Minnesota								
"|"
									$62,253,360								"|"
									$73,928,037								"
los_angeles_clippers|2009-2010|"
								25.
							"|"

									LA Clippers								
"|"
									$61,616,409								"|"
									$73,171,636								"
detroit_pistons|2009-2010|"
								26.
							"|"

									Detroit								
"|"
									$60,185,833								"|"
									$71,472,780								"
brooklyn_nets|2009-2010|"
								27.
							"|"

									Brooklyn								
"|"
									$59,366,715								"|"
									$70,500,047								"
oklahoma_city_thunder|2009-2010|"
								28.
							"|"

									Oklahoma City								
"|"
									$58,578,614								"|"
									$69,564,148								"
memphis_grizzlies|2009-2010|"
								29.
							"|"

									Memphis								
"|"
									$57,287,474								"|"
									$68,030,871								"
portland_trail_blazers|2009-2010|"
								30.
							"|"

									Portland								
"|"
									$56,946,258								"|"
									$67,625,668								"
