date|team|rank|state|payroll|payroll_adjusted
dallas_mavericks|2007-2008|"
								1.
							"|"

									Dallas								
"|"
									$101,694,879								"|"
									$125,021,260								"
new_york_knicks|2007-2008|"
								2.
							"|"

									New York								
"|"
									$96,190,114								"|"
									$118,253,832								"
denver_nuggets|2007-2008|"
								3.
							"|"

									Denver								
"|"
									$82,958,227								"|"
									$101,986,867								"
cleveland_cavaliers|2007-2008|"
								4.
							"|"

									Cleveland								
"|"
									$82,217,583								"|"
									$101,076,337								"
miami_heat|2007-2008|"
								5.
							"|"

									Miami								
"|"
									$74,767,603								"|"
									$91,917,507								"
boston_celtics|2007-2008|"
								6.
							"|"

									Boston								
"|"
									$74,509,455								"|"
									$91,600,146								"
philadelphia_76ers|2007-2008|"
								7.
							"|"

									Philadelphia								
"|"
									$74,038,229								"|"
									$91,020,831								"
portland_trail_blazers|2007-2008|"
								8.
							"|"

									Portland								
"|"
									$73,241,335								"|"
									$90,041,152								"
los_angeles_lakers|2007-2008|"
								9.
							"|"

									LA Lakers								
"|"
									$72,626,796								"|"
									$89,285,651								"
phoenix_suns|2007-2008|"
								10.
							"|"

									Phoenix								
"|"
									$71,323,049								"|"
									$87,682,855								"
san_antonio_spurs|2007-2008|"
								11.
							"|"

									San Antonio								
"|"
									$70,048,523								"|"
									$86,115,981								"
houston_rockets|2007-2008|"
								12.
							"|"

									Houston								
"|"
									$69,894,114								"|"
									$85,926,154								"
minnesota_timberwolves|2007-2008|"
								13.
							"|"

									Minnesota								
"|"
									$69,043,895								"|"
									$84,880,916								"
indiana_pacers|2007-2008|"
								14.
							"|"

									Indiana								
"|"
									$66,260,246								"|"
									$81,458,764								"
toronto_raptors|2007-2008|"
								15.
							"|"

									Toronto								
"|"
									$66,042,375								"|"
									$81,190,920								"
detroit_pistons|2007-2008|"
								16.
							"|"

									Detroit								
"|"
									$65,898,875								"|"
									$81,014,506								"
washington_wizards|2007-2008|"
								17.
							"|"

									Washington								
"|"
									$65,278,996								"|"
									$80,252,441								"
utah_jazz|2007-2008|"
								18.
							"|"

									Utah								
"|"
									$64,959,089								"|"
									$79,859,155								"
los_angeles_clippers|2007-2008|"
								19.
							"|"

									LA Clippers								
"|"
									$64,847,945								"|"
									$79,722,513								"
sacramento_kings|2007-2008|"
								20.
							"|"

									Sacramento								
"|"
									$63,403,225								"|"
									$77,946,408								"
chicago_bulls|2007-2008|"
								21.
							"|"

									Chicago								
"|"
									$63,084,166								"|"
									$77,554,169								"
new_orleans_pelicans|2007-2008|"
								22.
							"|"

									New Orleans								
"|"
									$62,609,991								"|"
									$76,971,228								"
milwaukee_bucks|2007-2008|"
								23.
							"|"

									Milwaukee								
"|"
									$62,571,522								"|"
									$76,923,937								"
golden_state_warriors|2007-2008|"
								24.
							"|"

									Golden State								
"|"
									$62,148,303								"|"
									$76,403,638								"
brooklyn_nets|2007-2008|"
								25.
							"|"

									Brooklyn								
"|"
									$61,836,211								"|"
									$76,019,960								"
oklahoma_city_thunder|2007-2008|"
								26.
							"|"

									Oklahoma City								
"|"
									$60,861,388								"|"
									$74,821,537								"
orlando_magic|2007-2008|"
								27.
							"|"

									Orlando								
"|"
									$58,165,973								"|"
									$71,507,858								"
atlanta_hawks|2007-2008|"
								28.
							"|"

									Atlanta								
"|"
									$55,501,133								"|"
									$68,231,769								"
memphis_grizzlies|2007-2008|"
								29.
							"|"

									Memphis								
"|"
									$54,118,526								"|"
									$66,532,021								"
charlotte_hornets|2007-2008|"
								30.
							"|"

									Charlotte								
"|"
									$53,745,468								"|"
									$66,073,393								"
