date|team|rank|state|payroll|payroll_adjusted
new_york_knicks|2004-2005|"
								1.
							"|"

									New York								
"|"
									$102,567,539								"|"
									$138,492,123								"
dallas_mavericks|2004-2005|"
								2.
							"|"

									Dallas								
"|"
									$91,908,443								"|"
									$124,099,645								"
portland_trail_blazers|2004-2005|"
								3.
							"|"

									Portland								
"|"
									$83,671,309								"|"
									$112,977,428								"
philadelphia_76ers|2004-2005|"
								4.
							"|"

									Philadelphia								
"|"
									$71,951,878								"|"
									$97,153,230								"
minnesota_timberwolves|2004-2005|"
								5.
							"|"

									Minnesota								
"|"
									$70,123,411								"|"
									$94,684,341								"
memphis_grizzlies|2004-2005|"
								6.
							"|"

									Memphis								
"|"
									$67,010,830								"|"
									$90,481,569								"
orlando_magic|2004-2005|"
								7.
							"|"

									Orlando								
"|"
									$66,445,249								"|"
									$89,717,890								"
indiana_pacers|2004-2005|"
								8.
							"|"

									Indiana								
"|"
									$66,064,780								"|"
									$89,204,160								"
los_angeles_lakers|2004-2005|"
								9.
							"|"

									LA Lakers								
"|"
									$65,059,098								"|"
									$87,846,236								"
boston_celtics|2004-2005|"
								10.
							"|"

									Boston								
"|"
									$64,577,356								"|"
									$87,195,764								"
sacramento_kings|2004-2005|"
								11.
							"|"

									Sacramento								
"|"
									$61,807,688								"|"
									$83,456,011								"
toronto_raptors|2004-2005|"
								12.
							"|"

									Toronto								
"|"
									$61,703,775								"|"
									$83,315,700								"
houston_rockets|2004-2005|"
								13.
							"|"

									Houston								
"|"
									$60,284,303								"|"
									$81,399,055								"
miami_heat|2004-2005|"
								14.
							"|"

									Miami								
"|"
									$59,523,529								"|"
									$80,371,816								"
milwaukee_bucks|2004-2005|"
								15.
							"|"

									Milwaukee								
"|"
									$57,448,246								"|"
									$77,569,659								"
chicago_bulls|2004-2005|"
								16.
							"|"

									Chicago								
"|"
									$57,276,129								"|"
									$77,337,256								"
new_orleans_pelicans|2004-2005|"
								17.
							"|"

									New Orleans								
"|"
									$56,572,882								"|"
									$76,387,696								"
brooklyn_nets|2004-2005|"
								18.
							"|"

									Brooklyn								
"|"
									$54,983,980								"|"
									$74,242,278								"
golden_state_warriors|2004-2005|"
								19.
							"|"

									Golden State								
"|"
									$54,943,723								"|"
									$74,187,921								"
detroit_pistons|2004-2005|"
								20.
							"|"

									Detroit								
"|"
									$54,762,481								"|"
									$73,943,198								"
oklahoma_city_thunder|2004-2005|"
								21.
							"|"

									Oklahoma City								
"|"
									$53,821,301								"|"
									$72,672,367								"
washington_wizards|2004-2005|"
								22.
							"|"

									Washington								
"|"
									$49,797,050								"|"
									$67,238,609								"
cleveland_cavaliers|2004-2005|"
								23.
							"|"

									Cleveland								
"|"
									$49,175,274								"|"
									$66,399,055								"
san_antonio_spurs|2004-2005|"
								24.
							"|"

									San Antonio								
"|"
									$47,504,123								"|"
									$64,142,578								"
denver_nuggets|2004-2005|"
								25.
							"|"

									Denver								
"|"
									$46,101,759								"|"
									$62,249,032								"
los_angeles_clippers|2004-2005|"
								26.
							"|"

									LA Clippers								
"|"
									$45,483,265								"|"
									$61,413,910								"
phoenix_suns|2004-2005|"
								27.
							"|"

									Phoenix								
"|"
									$44,598,682								"|"
									$60,219,498								"
utah_jazz|2004-2005|"
								28.
							"|"

									Utah								
"|"
									$43,515,760								"|"
									$58,757,281								"
atlanta_hawks|2004-2005|"
								29.
							"|"

									Atlanta								
"|"
									$41,059,616								"|"
									$55,440,863								"
charlotte_hornets|2004-2005|"
								30.
							"|"

									Charlotte								
"|"
									$23,922,578								"|"
									$32,301,524								"
