date|team|rank|state|payroll|payroll_adjusted
miami_heat|2018-2019|"
								1.
							"|"

									Miami								
"|"
									$153,171,497								"|"
									$155,696,495								"
golden_state_warriors|2018-2019|"
								2.
							"|"

									Golden State								
"|"
									$146,291,276								"|"
									$148,702,858								"
oklahoma_city_thunder|2018-2019|"
								3.
							"|"

									Oklahoma City								
"|"
									$144,916,427								"|"
									$147,305,340								"
toronto_raptors|2018-2019|"
								4.
							"|"

									Toronto								
"|"
									$137,793,831								"|"
									$140,065,330								"
milwaukee_bucks|2018-2019|"
								5.
							"|"

									Milwaukee								
"|"
									$130,988,604								"|"
									$133,147,922								"
portland_trail_blazers|2018-2019|"
								6.
							"|"

									Portland								
"|"
									$130,256,600								"|"
									$132,403,851								"
detroit_pistons|2018-2019|"
								7.
							"|"

									Detroit								
"|"
									$126,557,932								"|"
									$128,644,207								"
houston_rockets|2018-2019|"
								8.
							"|"

									Houston								
"|"
									$126,474,100								"|"
									$128,558,994								"
memphis_grizzlies|2018-2019|"
								9.
							"|"

									Memphis								
"|"
									$126,107,461								"|"
									$128,186,312								"
boston_celtics|2018-2019|"
								10.
							"|"

									Boston								
"|"
									$125,334,993								"|"
									$127,401,110								"
washington_wizards|2018-2019|"
								11.
							"|"

									Washington								
"|"
									$123,747,588								"|"
									$125,787,536								"
new_york_knicks|2018-2019|"
								12.
							"|"

									New York								
"|"
									$123,387,454								"|"
									$125,421,469								"
cleveland_cavaliers|2018-2019|"
								13.
							"|"

									Cleveland								
"|"
									$123,255,073								"|"
									$125,286,901								"
minnesota_timberwolves|2018-2019|"
								14.
							"|"

									Minnesota								
"|"
									$121,962,221								"|"
									$123,972,737								"
san_antonio_spurs|2018-2019|"
								15.
							"|"

									San Antonio								
"|"
									$121,588,790								"|"
									$123,593,153								"
charlotte_hornets|2018-2019|"
								16.
							"|"

									Charlotte								
"|"
									$121,427,859								"|"
									$123,429,571								"
brooklyn_nets|2018-2019|"
								17.
							"|"

									Brooklyn								
"|"
									$118,850,600								"|"
									$120,809,821								"
denver_nuggets|2018-2019|"
								18.
							"|"

									Denver								
"|"
									$118,327,016								"|"
									$120,277,610								"
los_angeles_clippers|2018-2019|"
								19.
							"|"

									LA Clippers								
"|"
									$118,026,816								"|"
									$119,972,458								"
new_orleans_pelicans|2018-2019|"
								20.
							"|"

									New Orleans								
"|"
									$116,052,756								"|"
									$117,965,855								"
philadelphia_76ers|2018-2019|"
								21.
							"|"

									Philadelphia								
"|"
									$115,127,167								"|"
									$117,025,010								"
orlando_magic|2018-2019|"
								22.
							"|"

									Orlando								
"|"
									$114,394,213								"|"
									$116,279,975								"
utah_jazz|2018-2019|"
								23.
							"|"

									Utah								
"|"
									$113,826,156								"|"
									$115,702,554								"
chicago_bulls|2018-2019|"
								24.
							"|"

									Chicago								
"|"
									$112,598,201								"|"
									$114,454,351								"
indiana_pacers|2018-2019|"
								25.
							"|"

									Indiana								
"|"
									$110,724,804								"|"
									$112,550,074								"
phoenix_suns|2018-2019|"
								26.
							"|"

									Phoenix								
"|"
									$108,692,835								"|"
									$110,484,604								"
los_angeles_lakers|2018-2019|"
								27.
							"|"

									LA Lakers								
"|"
									$107,225,482								"|"
									$108,993,069								"
sacramento_kings|2018-2019|"
								28.
							"|"

									Sacramento								
"|"
									$101,466,920								"|"
									$103,139,575								"
dallas_mavericks|2018-2019|"
								29.
							"|"

									Dallas								
"|"
									$86,958,881								"|"
									$88,392,374								"
atlanta_hawks|2018-2019|"
								30.
							"|"

									Atlanta								
"|"
									$79,180,081								"|"
									$80,485,339								"
