date|team|rank|state|payroll|payroll_adjusted
cleveland_cavaliers|2015-2016|"
								1.
							"|"

									Cleveland								
"|"
									$108,300,458								"|"
									$116,244,698								"
los_angeles_clippers|2015-2016|"
								2.
							"|"

									LA Clippers								
"|"
									$97,019,321								"|"
									$104,136,046								"
oklahoma_city_thunder|2015-2016|"
								3.
							"|"

									Oklahoma City								
"|"
									$95,708,387								"|"
									$102,728,953								"
golden_state_warriors|2015-2016|"
								4.
							"|"

									Golden State								
"|"
									$93,669,566								"|"
									$100,540,577								"
san_antonio_spurs|2015-2016|"
								5.
							"|"

									San Antonio								
"|"
									$87,832,839								"|"
									$94,275,703								"
houston_rockets|2015-2016|"
								6.
							"|"

									Houston								
"|"
									$87,504,058								"|"
									$93,922,804								"
chicago_bulls|2015-2016|"
								7.
							"|"

									Chicago								
"|"
									$87,073,838								"|"
									$93,461,027								"
miami_heat|2015-2016|"
								8.
							"|"

									Miami								
"|"
									$85,764,781								"|"
									$92,055,943								"
washington_wizards|2015-2016|"
								9.
							"|"

									Washington								
"|"
									$85,055,155								"|"
									$91,294,262								"
new_orleans_pelicans|2015-2016|"
								10.
							"|"

									New Orleans								
"|"
									$83,709,371								"|"
									$89,849,758								"
memphis_grizzlies|2015-2016|"
								11.
							"|"

									Memphis								
"|"
									$83,223,881								"|"
									$89,328,654								"
brooklyn_nets|2015-2016|"
								12.
							"|"

									Brooklyn								
"|"
									$80,258,302								"|"
									$86,145,542								"
detroit_pistons|2015-2016|"
								13.
							"|"

									Detroit								
"|"
									$77,256,014								"|"
									$82,923,025								"
boston_celtics|2015-2016|"
								14.
							"|"

									Boston								
"|"
									$77,141,919								"|"
									$82,800,561								"
charlotte_hornets|2015-2016|"
								15.
							"|"

									Charlotte								
"|"
									$76,860,006								"|"
									$82,497,971								"
dallas_mavericks|2015-2016|"
								16.
							"|"

									Dallas								
"|"
									$75,397,067								"|"
									$80,927,720								"
new_york_knicks|2015-2016|"
								17.
							"|"

									New York								
"|"
									$74,237,021								"|"
									$79,682,579								"
milwaukee_bucks|2015-2016|"
								18.
							"|"

									Milwaukee								
"|"
									$73,843,541								"|"
									$79,260,236								"
los_angeles_lakers|2015-2016|"
								19.
							"|"

									LA Lakers								
"|"
									$72,694,352								"|"
									$78,026,750								"
denver_nuggets|2015-2016|"
								20.
							"|"

									Denver								
"|"
									$72,589,023								"|"
									$77,913,691								"
minnesota_timberwolves|2015-2016|"
								21.
							"|"

									Minnesota								
"|"
									$72,287,243								"|"
									$77,589,778								"
atlanta_hawks|2015-2016|"
								22.
							"|"

									Atlanta								
"|"
									$71,661,760								"|"
									$76,918,414								"
indiana_pacers|2015-2016|"
								23.
							"|"

									Indiana								
"|"
									$71,605,233								"|"
									$76,857,739								"
toronto_raptors|2015-2016|"
								24.
							"|"

									Toronto								
"|"
									$71,591,189								"|"
									$76,842,665								"
sacramento_kings|2015-2016|"
								25.
							"|"

									Sacramento								
"|"
									$70,610,560								"|"
									$75,790,104								"
phoenix_suns|2015-2016|"
								26.
							"|"

									Phoenix								
"|"
									$68,095,365								"|"
									$73,090,409								"
philadelphia_76ers|2015-2016|"
								27.
							"|"

									Philadelphia								
"|"
									$64,583,220								"|"
									$69,320,632								"
utah_jazz|2015-2016|"
								28.
							"|"

									Utah								
"|"
									$63,608,425								"|"
									$68,274,335								"
orlando_magic|2015-2016|"
								29.
							"|"

									Orlando								
"|"
									$63,199,651								"|"
									$67,835,576								"
portland_trail_blazers|2015-2016|"
								30.
							"|"

									Portland								
"|"
									$61,685,814								"|"
									$66,210,692								"
