date|team|rank|state|payroll|payroll_adjusted
new_york_knicks|2006-2007|"
								1.
							"|"

									New York								
"|"
									$117,350,866								"|"
									$148,144,904								"
dallas_mavericks|2006-2007|"
								2.
							"|"

									Dallas								
"|"
									$88,531,846								"|"
									$111,763,485								"
los_angeles_lakers|2006-2007|"
								3.
							"|"

									LA Lakers								
"|"
									$77,099,949								"|"
									$97,331,744								"
portland_trail_blazers|2006-2007|"
								4.
							"|"

									Portland								
"|"
									$75,026,386								"|"
									$94,714,055								"
philadelphia_76ers|2006-2007|"
								5.
							"|"

									Philadelphia								
"|"
									$69,140,163								"|"
									$87,283,231								"
minnesota_timberwolves|2006-2007|"
								6.
							"|"

									Minnesota								
"|"
									$66,820,673								"|"
									$84,355,083								"
phoenix_suns|2006-2007|"
								7.
							"|"

									Phoenix								
"|"
									$65,841,120								"|"
									$83,118,485								"
san_antonio_spurs|2006-2007|"
								8.
							"|"

									San Antonio								
"|"
									$65,654,320								"|"
									$82,882,668								"
denver_nuggets|2006-2007|"
								9.
							"|"

									Denver								
"|"
									$65,517,776								"|"
									$82,710,292								"
golden_state_warriors|2006-2007|"
								10.
							"|"

									Golden State								
"|"
									$65,012,368								"|"
									$82,072,260								"
brooklyn_nets|2006-2007|"
								11.
							"|"

									Brooklyn								
"|"
									$64,486,110								"|"
									$81,407,908								"
miami_heat|2006-2007|"
								12.
							"|"

									Miami								
"|"
									$64,416,312								"|"
									$81,319,791								"
sacramento_kings|2006-2007|"
								13.
							"|"

									Sacramento								
"|"
									$64,296,611								"|"
									$81,168,680								"
houston_rockets|2006-2007|"
								14.
							"|"

									Houston								
"|"
									$63,837,566								"|"
									$80,589,179								"
milwaukee_bucks|2006-2007|"
								15.
							"|"

									Milwaukee								
"|"
									$63,498,518								"|"
									$80,161,159								"
indiana_pacers|2006-2007|"
								16.
							"|"

									Indiana								
"|"
									$63,118,965								"|"
									$79,682,007								"
cleveland_cavaliers|2006-2007|"
								17.
							"|"

									Cleveland								
"|"
									$62,992,729								"|"
									$79,522,647								"
boston_celtics|2006-2007|"
								18.
							"|"

									Boston								
"|"
									$62,981,479								"|"
									$79,508,444								"
washington_wizards|2006-2007|"
								19.
							"|"

									Washington								
"|"
									$62,733,705								"|"
									$79,195,652								"
utah_jazz|2006-2007|"
								20.
							"|"

									Utah								
"|"
									$62,364,364								"|"
									$78,729,392								"
memphis_grizzlies|2006-2007|"
								21.
							"|"

									Memphis								
"|"
									$61,960,489								"|"
									$78,219,537								"
orlando_magic|2006-2007|"
								22.
							"|"

									Orlando								
"|"
									$61,447,108								"|"
									$77,571,440								"
los_angeles_clippers|2006-2007|"
								23.
							"|"

									LA Clippers								
"|"
									$59,181,038								"|"
									$74,710,727								"
detroit_pistons|2006-2007|"
								24.
							"|"

									Detroit								
"|"
									$59,010,951								"|"
									$74,496,011								"
oklahoma_city_thunder|2006-2007|"
								25.
							"|"

									Oklahoma City								
"|"
									$56,986,831								"|"
									$71,940,739								"
chicago_bulls|2006-2007|"
								26.
							"|"

									Chicago								
"|"
									$54,754,904								"|"
									$69,123,133								"
new_orleans_pelicans|2006-2007|"
								27.
							"|"

									New Orleans								
"|"
									$53,748,991								"|"
									$67,853,262								"
toronto_raptors|2006-2007|"
								28.
							"|"

									Toronto								
"|"
									$51,015,491								"|"
									$64,402,460								"
atlanta_hawks|2006-2007|"
								29.
							"|"

									Atlanta								
"|"
									$48,581,972								"|"
									$61,330,359								"
charlotte_hornets|2006-2007|"
								30.
							"|"

									Charlotte								
"|"
									$41,964,046								"|"
									$52,975,828								"
