date|team|rank|state|payroll|payroll_adjusted
new_york_knicks|2003-2004|"
								1.
							"|"

									New York								
"|"
									$89,444,820								"|"
									$124,717,817								"
portland_trail_blazers|2003-2004|"
								2.
							"|"

									Portland								
"|"
									$82,956,768								"|"
									$115,671,172								"
dallas_mavericks|2003-2004|"
								3.
							"|"

									Dallas								
"|"
									$79,536,723								"|"
									$110,902,416								"
minnesota_timberwolves|2003-2004|"
								4.
							"|"

									Minnesota								
"|"
									$71,272,042								"|"
									$99,378,516								"
sacramento_kings|2003-2004|"
								5.
							"|"

									Sacramento								
"|"
									$68,372,826								"|"
									$95,335,979								"
phoenix_suns|2003-2004|"
								6.
							"|"

									Phoenix								
"|"
									$66,931,770								"|"
									$93,326,635								"
atlanta_hawks|2003-2004|"
								7.
							"|"

									Atlanta								
"|"
									$64,497,340								"|"
									$89,932,175								"
los_angeles_lakers|2003-2004|"
								8.
							"|"

									LA Lakers								
"|"
									$64,123,085								"|"
									$89,410,332								"
brooklyn_nets|2003-2004|"
								9.
							"|"

									Brooklyn								
"|"
									$63,697,123								"|"
									$88,816,389								"
toronto_raptors|2003-2004|"
								10.
							"|"

									Toronto								
"|"
									$63,033,243								"|"
									$87,890,704								"
philadelphia_76ers|2003-2004|"
								11.
							"|"

									Philadelphia								
"|"
									$60,411,079								"|"
									$84,234,479								"
boston_celtics|2003-2004|"
								12.
							"|"

									Boston								
"|"
									$60,185,915								"|"
									$83,920,521								"
indiana_pacers|2003-2004|"
								13.
							"|"

									Indiana								
"|"
									$58,156,236								"|"
									$81,090,427								"
memphis_grizzlies|2003-2004|"
								14.
							"|"

									Memphis								
"|"
									$57,378,323								"|"
									$80,005,740								"
chicago_bulls|2003-2004|"
								15.
							"|"

									Chicago								
"|"
									$55,489,797								"|"
									$77,372,466								"
houston_rockets|2003-2004|"
								16.
							"|"

									Houston								
"|"
									$55,401,430								"|"
									$77,249,247								"
detroit_pistons|2003-2004|"
								17.
							"|"

									Detroit								
"|"
									$53,442,834								"|"
									$74,518,272								"
golden_state_warriors|2003-2004|"
								18.
							"|"

									Golden State								
"|"
									$53,376,708								"|"
									$74,426,067								"
milwaukee_bucks|2003-2004|"
								19.
							"|"

									Milwaukee								
"|"
									$53,229,826								"|"
									$74,221,262								"
oklahoma_city_thunder|2003-2004|"
								20.
							"|"

									Oklahoma City								
"|"
									$52,347,476								"|"
									$72,990,953								"
orlando_magic|2003-2004|"
								21.
							"|"

									Orlando								
"|"
									$50,588,419								"|"
									$70,538,202								"
new_orleans_pelicans|2003-2004|"
								22.
							"|"

									New Orleans								
"|"
									$49,800,204								"|"
									$69,439,150								"
miami_heat|2003-2004|"
								23.
							"|"

									Miami								
"|"
									$47,349,374								"|"
									$66,021,825								"
san_antonio_spurs|2003-2004|"
								24.
							"|"

									San Antonio								
"|"
									$46,464,064								"|"
									$64,787,390								"
cleveland_cavaliers|2003-2004|"
								25.
							"|"

									Cleveland								
"|"
									$46,186,472								"|"
									$64,400,326								"
washington_wizards|2003-2004|"
								26.
							"|"

									Washington								
"|"
									$45,682,902								"|"
									$63,698,173								"
denver_nuggets|2003-2004|"
								27.
							"|"

									Denver								
"|"
									$39,398,646								"|"
									$54,935,689								"
los_angeles_clippers|2003-2004|"
								28.
							"|"

									LA Clippers								
"|"
									$39,114,363								"|"
									$54,539,296								"
utah_jazz|2003-2004|"
								29.
							"|"

									Utah								
"|"
									$34,747,674								"|"
									$48,450,582								"
