date|team|rank|state|payroll|payroll_adjusted
portland_trail_blazers|2002-2003|"
								1.
							"|"

									Portland								
"|"
									$105,595,657								"|"
									$150,347,896								"
new_york_knicks|2002-2003|"
								2.
							"|"

									New York								
"|"
									$93,452,379								"|"
									$133,058,204								"
dallas_mavericks|2002-2003|"
								3.
							"|"

									Dallas								
"|"
									$72,940,316								"|"
									$103,852,971								"
sacramento_kings|2002-2003|"
								4.
							"|"

									Sacramento								
"|"
									$70,416,596								"|"
									$100,259,682								"
philadelphia_76ers|2002-2003|"
								5.
							"|"

									Philadelphia								
"|"
									$64,822,487								"|"
									$92,294,745								"
los_angeles_lakers|2002-2003|"
								6.
							"|"

									LA Lakers								
"|"
									$63,151,182								"|"
									$89,915,129								"
memphis_grizzlies|2002-2003|"
								7.
							"|"

									Memphis								
"|"
									$61,009,172								"|"
									$86,865,318								"
brooklyn_nets|2002-2003|"
								8.
							"|"

									Brooklyn								
"|"
									$60,412,919								"|"
									$86,016,368								"
minnesota_timberwolves|2002-2003|"
								9.
							"|"

									Minnesota								
"|"
									$59,518,801								"|"
									$84,743,318								"
milwaukee_bucks|2002-2003|"
								10.
							"|"

									Milwaukee								
"|"
									$57,995,152								"|"
									$82,573,933								"
miami_heat|2002-2003|"
								11.
							"|"

									Miami								
"|"
									$57,378,326								"|"
									$81,695,690								"
atlanta_hawks|2002-2003|"
								12.
							"|"

									Atlanta								
"|"
									$55,711,549								"|"
									$79,322,520								"
toronto_raptors|2002-2003|"
								13.
							"|"

									Toronto								
"|"
									$55,408,207								"|"
									$78,890,619								"
phoenix_suns|2002-2003|"
								14.
							"|"

									Phoenix								
"|"
									$55,225,080								"|"
									$78,629,884								"
indiana_pacers|2002-2003|"
								15.
							"|"

									Indiana								
"|"
									$53,472,323								"|"
									$76,134,294								"
san_antonio_spurs|2002-2003|"
								16.
							"|"

									San Antonio								
"|"
									$53,182,559								"|"
									$75,721,728								"
oklahoma_city_thunder|2002-2003|"
								17.
							"|"

									Oklahoma City								
"|"
									$53,167,479								"|"
									$75,700,256								"
boston_celtics|2002-2003|"
								18.
							"|"

									Boston								
"|"
									$52,548,195								"|"
									$74,818,514								"
utah_jazz|2002-2003|"
								19.
							"|"

									Utah								
"|"
									$50,934,629								"|"
									$72,521,106								"
orlando_magic|2002-2003|"
								20.
							"|"

									Orlando								
"|"
									$50,435,346								"|"
									$71,810,225								"
houston_rockets|2002-2003|"
								21.
							"|"

									Houston								
"|"
									$50,181,239								"|"
									$71,448,425								"
cleveland_cavaliers|2002-2003|"
								22.
							"|"

									Cleveland								
"|"
									$49,610,448								"|"
									$70,635,728								"
denver_nuggets|2002-2003|"
								23.
							"|"

									Denver								
"|"
									$49,109,209								"|"
									$69,922,057								"
detroit_pistons|2002-2003|"
								24.
							"|"

									Detroit								
"|"
									$47,777,888								"|"
									$68,026,515								"
golden_state_warriors|2002-2003|"
								25.
							"|"

									Golden State								
"|"
									$47,737,715								"|"
									$67,969,315								"
washington_wizards|2002-2003|"
								26.
							"|"

									Washington								
"|"
									$46,691,190								"|"
									$66,479,263								"
chicago_bulls|2002-2003|"
								27.
							"|"

									Chicago								
"|"
									$44,531,095								"|"
									$63,403,704								"
new_orleans_pelicans|2002-2003|"
								28.
							"|"

									New Orleans								
"|"
									$44,458,882								"|"
									$63,300,889								"
los_angeles_clippers|2002-2003|"
								29.
							"|"

									LA Clippers								
"|"
									$42,955,777								"|"
									$61,160,755								"
